,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL
170,Single Family,1987,Gas,Central,2 spaces,None,"10,079 sqft",$297,"$716,000","929 E Glenwood Rd, Glenview, IL 60025","2,408", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 54.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/929-E-Glenwood-Rd-Glenview-IL-60025/3369809_zpid/
171,Townhouse,2005,"Forced air, Gas",Central,4 spaces,,No Data,$202,"$775,000","1850 Admiral Ct, Glenview, IL 60026","3,840", No, 4, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 31% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1850-Admiral-Ct-Glenview-IL-60026/2079777987_zpid/
172,Condo,1990,Gas,Central,2 spaces,$492/month,,$214,"$449,900","187 Princeton Ln #187, Glenview, IL 60026","2,100", No, 2, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 24% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/187-Princeton-Ln-187-Glenview-IL-60026/2079781168_zpid/
173,Condo,2006,"Forced air, Gas",Central,2 spaces,$261/mo,,$188,"$659,000","1908 Monroe Ave, Glenview, IL 60025","3,500", No, 4, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 42.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1908-Monroe-Ave-Glenview-IL-60025/2079781358_zpid/
174,Single Family,2002,Gas,Central,3 spaces,,0.37 Acres,$309,"$1,399,000","1414 Canterbury Ln, Glenview, IL 60025","4,528", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 202.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1414-Canterbury-Ln-Glenview-IL-60025/61958424_zpid/
175,Townhouse,1974,"Forced air, Gas",Central,2 spaces,,No Data,$181,"$479,000","1809 Wildberry Dr UNIT F, Glenview, IL 60025","2,650", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 3.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1809-Wildberry-Dr-UNIT-F-Glenview-IL-60025/2079810813_zpid/
176,Single Family,1943,Forced air,Central,2 spaces,None,0.26 acres,$186,"$525,000","705 Glenshire Rd, Glenview, IL 60025","2,829", No, 4, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 13.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/705-Glenshire-Rd-Glenview-IL-60025/3353346_zpid/
177,Condo,1977,Electric,Central,1 space,$274/month,,$148,"$148,000","624 Cobblestone Cir APT E, Glenview, IL 60025","1,000", No, 2, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 68% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/624-Cobblestone-Cir-APT-E-Glenview-IL-60025/2083409328_zpid/
178,Single Family,2020,"Forced air, Gas",Central,2 spaces,,No Data,$272,"$689,400","1069 Ironwood Ct, Glenview, IL 60025","2,530", Yes, 3, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 49.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1069-Ironwood-Ct-Glenview-IL-60025/245566914_zpid/
179,Single Family,2020,Forced air,Central,3 spaces,None,"6,651 sqft",$390,"$1,895,000","1530 Meadow Ln, Glenview, IL 60025","4,855", Yes, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 310% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1530-Meadow-Ln-Glenview-IL-60025/3346942_zpid/
180,Single Family,1956,Other,Central,1 space,,0.27 acres,$329,"$679,999","700 Juniper Rd, Glenview, IL 60025","2,069", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 47.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/700-Juniper-Rd-Glenview-IL-60025/49913632_zpid/
181,Single Family,1968,"Forced air, Gas",Central,3 spaces,,"10,301 sqft",$155,"$574,900","1514 Pfingsten Rd, Glenview, IL 60025","3,704", No, 5, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 24.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1514-Pfingsten-Rd-Glenview-IL-60025/3349620_zpid/
182,Single Family,1995,Forced air,Central,2 spaces,None,0.26 acres,$206,"$759,000","1500 Hollywood Ave, Glenview, IL 60025","3,686", No, 5, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 64.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1500-Hollywood-Ave-Glenview-IL-60025/3348291_zpid/
183,Mobile / Manufactured,2016,Forced air,Central,4 spaces,,,No Data,"$59,900","828 8th St, Winnetka, IL 60093",, No, 3, 2, 2,,"Home values in 60093 have fallen 0.9 % (↓) over the past 12 months.Zillow predicts the home values in 60093 will fall 1.3% (↓) in the next year.This home is valued 94.5% lower (↓) than the median home in 60093.The median Zestimate® for this neighborhood is $1,091,856.",https://www.zillow.com/homedetails/828-8th-St-Winnetka-IL-60093/2080341451_zpid/
184,Single Family,2020,Forced air,Central,2 spaces,$250/month,No Data,$300,"$750,000","1240 Parker Dr, Glenview, IL 60025","2,501", Yes, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 62.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1240-Parker-Dr-Glenview-IL-60025/2080351103_zpid/
185,Single Family,2020,"Forced air, Gas",Central,2 spaces,,No Data,$303,"$699,400","1091 Ironwood Ct, Glenview, IL 60025","2,308", Yes, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1091-Ironwood-Ct-Glenview-IL-60025/245566595_zpid/
186,Condo,1980,Gas,Central,1 space,$254/month,,$161,"$169,000","4158 Cove Ln #2E, Glenview, IL 60025","1,050", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 63.4% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4158-Cove-Ln-2E-Glenview-IL-60025/2080492423_zpid/
187,Condo,1980,Forced air,Central,1 space,$254/month,,No Data,"$178,000","4112 Cove Ln #2B, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 61.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4112-Cove-Ln-2B-Glenview-IL-60025/2080609864_zpid/
188,Single Family,1955,"Forced air, Gas",None,2 spaces,,0.49 Acres,$444,"$895,000","2130 Swainwood Dr, Glenview, IL 60025","2,016", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 93.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2130-Swainwood-Dr-Glenview-IL-60025/3353939_zpid/
189,Single Family,2002,"Forced air, Gas",Central,2 spaces,,"10,267 sqft",$214,"$749,000","2806 Park Ln, Glenview, IL 60025","3,500", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 62.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2806-Park-Ln-Glenview-IL-60025/62005923_zpid/
190,Single Family,1946,Forced air,Central,2 spaces,$21/month,0.49 acres,$291,"$1,499,000","1240 Westview Rd, Glenview, IL 60025","5,150", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 224.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1240-Westview-Rd-Glenview-IL-60025/3356687_zpid/
191,Single Family,1953,Gas,Central,2 spaces,,"7,800 sqft",$238,"$425,000","2502 Central Rd, Glenview, IL 60025","1,788", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 8% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2502-Central-Rd-Glenview-IL-60025/3278812_zpid/
192,Condo,1969,Forced air,Central,1 space,$366/month,,$281,"$224,900","1925 Tanglewood Dr APT 2C, Glenview, IL 60025",800, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 51.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1925-Tanglewood-Dr-APT-2C-Glenview-IL-60025/3347546_zpid/
193,Townhouse,2005,"Forced air, Gas",Central,2 spaces,,"2,027 sqft",$199,"$449,900","4269 Linden Tree Ln, Glenview, IL 60026","2,258", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 24% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4269-Linden-Tree-Ln-Glenview-IL-60026/70452973_zpid/
194,Mobile / Manufactured,1994,Electric,Central,2 spaces,,,No Data,"$54,000","6 S Main St, Northfield, IL 60093",, No, 3, 2, 2,,"Home values in 60093 have fallen 0.9 % (↓) over the past 12 months.Zillow predicts the home values in 60093 will fall 1.3% (↓) in the next year.This home is valued 95.1% lower (↓) than the median home in 60093.The median Zestimate® for this neighborhood is $1,091,856.",https://www.zillow.com/homedetails/6-S-Main-St-Northfield-IL-60093/2080790146_zpid/
195,Single Family,2001,Forced air,Central,3 spaces,$41/month,0.25 acres,$274,"$1,149,000","1698 Independence Ave, Glenview, IL 60026","4,200", No, 5, 4, 4,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 94.2% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1698-Independence-Ave-Glenview-IL-60026/60259806_zpid/
196,Townhouse,1950,Forced air,Central,2 spaces,$624/month,No Data,$185,"$464,900","100 Harvard Ct, Glenview, IL 60026","2,517", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 21.4% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/100-Harvard-Ct-Glenview-IL-60026/3344121_zpid/
197,Single Family,2020,Forced air,Central,2 spaces,None,"9,295 sqft",$338,"$1,295,000","1342 London Ln, Glenview, IL 60025","3,836", Yes, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 180.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1342-London-Ln-Glenview-IL-60025/3348517_zpid/
198,Single Family,1974,Forced air,Central,2 spaces,,"10,415 sqft",$231,"$699,900","1621 Barry Ln, Glenview, IL 60025","3,026", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1621-Barry-Ln-Glenview-IL-60025/3349664_zpid/
199,Single Family,2019,"Forced air, Gas",Central,2 spaces,,No Data,$324,"$749,900","1238 Parker Dr, Glenview, IL 60025","2,317", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 62.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1238-Parker-Dr-Glenview-IL-60025/2080953221_zpid/
200,Single Family,1939,"Forced air, Gas",Central,2 spaces,,"10,720 sqft",$239,"$879,000","1048 Pleasant Ln, Glenview, IL 60025","3,681", No, 5, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 90.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1048-Pleasant-Ln-Glenview-IL-60025/3346513_zpid/
201,Single Family,1938,Gas,Central,2 spaces,$20/month,0.53 acres,$325,"$1,349,000","1250 Westview Rd, Glenview, IL 60025","4,150", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 191.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1250-Westview-Rd-Glenview-IL-60025/3356686_zpid/
202,Single Family,1948,Forced air,Central,2 spaces,None,0.44 acres,$255,"$597,000","814 Elmdale Rd, Glenview, IL 60025","2,341", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 29.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/814-Elmdale-Rd-Glenview-IL-60025/3352846_zpid/
203,Condo,2000,Gas,Central,2 spaces,$611/month,,$210,"$410,000","1625 Glenview Rd UNIT 310, Glenview, IL 60025","1,948", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 11.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1625-Glenview-Rd-UNIT-310-Glenview-IL-60025/62005991_zpid/
204,Single Family,1986,No Data,No Data,2 spaces,,0.26 acres,,"$602,583","1032 Bette Ln, Glenview, IL 60025","3,525", No, 4, 3,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 30.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1032-Bette-Ln-Glenview-IL-60025/3350652_zpid/
205,Condo,2005,Forced air,Central,1 space,$526/month,,$207,"$290,000","2700 Summit Dr APT 109, Glenview, IL 60025","1,400", No, 2, 2, 1, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 37.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2700-Summit-Dr-APT-109-Glenview-IL-60025/80814266_zpid/
206,Condo,1982,Electric,Central,1 space,$236/month,,$127,"$140,000","4158 Cove Ln APT C, Glenview, IL 60025","1,100", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 69.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4158-Cove-Ln-APT-C-Glenview-IL-60025/3350760_zpid/
207,Single Family,2010,Gas,Central,3 spaces,,"9,988 sqft",$363,"$1,298,900","946 Burton Ter, Glenview, IL 60025","3,575", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 181% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/946-Burton-Ter-Glenview-IL-60025/3346868_zpid/
208,Single Family,1988,Forced air,Central,3 spaces,$86/month,0.35 acres,$180,"$899,000","2407 Saranac Ln, Glenview, IL 60026","5,000", No, 5, 6, 5, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 51.9% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2407-Saranac-Ln-Glenview-IL-60026/3342946_zpid/
209,Single Family,2020,"Forced air, Gas",Central,2 spaces,,No Data,$279,"$699,000","1236 Parker Dr, Glenview, IL 60025","2,501", Yes, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 51.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1236-Parker-Dr-Glenview-IL-60025/2081149534_zpid/
210,Single Family,2001,Forced air,Central,2 spaces,$45/month,"8,799 sqft",$283,"$1,185,000","1549 Bluestem Ln, Glenview, IL 60026","4,190", No, 5, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 100.3% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1549-Bluestem-Ln-Glenview-IL-60026/62005813_zpid/
211,Single Family,1962,No Data,No Data,2 spaces,$12/month,"10,115 sqft",,"$245,759","446 Elder Ct, Glenview, IL 60025","1,551", No, 3, 2,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 46.8% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/446-Elder-Ct-Glenview-IL-60025/3470178_zpid/
212,Condo,1983,Forced air,Central,1 space,$289/month,,,"$173,877","1108 Castilian Ct #E264, Glenview, IL 60025",, No, 2,,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 62.4% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1108-Castilian-Ct-E264-Glenview-IL-60025/3350259_zpid/
213,Condo,1979,Electric,Central,Attached Garage,$370/month,,,"$255,671","706 Waukegan Rd APT 305C, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 44.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/706-Waukegan-Rd-APT-305C-Glenview-IL-60025/3355741_zpid/
214,Single Family,1928,Gas,Wall,2 spaces,None,0.83 acres,$402,"$995,000","840 Hudson Rd, Glenview, IL 60025","2,476", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 115.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/840-Hudson-Rd-Glenview-IL-60025/3356031_zpid/
215,Single Family,2002,"Forced air, Gas",Central,2 spaces,,0.25 Acres,$209,"$785,500","903 Glenshire Rd, Glenview, IL 60025","3,757", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 69.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/903-Glenshire-Rd-Glenview-IL-60025/3353217_zpid/
216,Single Family,2001,Gas,Central,2 spaces,,"9,361 sqft",$292,"$949,000","1736 Constitution Dr, Glenview, IL 60026","3,248", No, 4, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 60.4% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1736-Constitution-Dr-Glenview-IL-60026/60199306_zpid/
217,Single Family,1959,Forced air,Central,2 spaces,,0.32 acres,,"$732,365","1110 Arbor Ln, Glenview, IL 60025","2,903", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 58.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1110-Arbor-Ln-Glenview-IL-60025/3368866_zpid/
218,Single Family,1955,No Data,Central,1 space,,"8,522 sqft",,"$284,803","29 Dale St, Glenview, IL 60025",893, No, 2, 1,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 38.4% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/29-Dale-St-Glenview-IL-60025/3370546_zpid/
219,Condo,1963,Forced air,Central,1 space,$60/month,,,"$226,652","416 Glendale Rd, Glenview, IL 60025","1,176", No, 4, 2,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/416-Glendale-Rd-Glenview-IL-60025/3470022_zpid/
220,Condo,2000,Forced air,Central,2 spaces,$549/month,,No Data,"$289,900","1800 Dewes St UNIT 307, Glenview, IL 60025",, No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 37.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1800-Dewes-St-UNIT-307-Glenview-IL-60025/65547930_zpid/
221,Single Family,2001,Forced air,Central,2 spaces,$42/month,"10,010 sqft",,"$698,086","716 Pfingsten Rd, Glenview, IL 60025","5,750", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 51% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/716-Pfingsten-Rd-Glenview-IL-60025/63689612_zpid/
222,Single Family,1946,No Data,No Data,2 spaces,,"10,018 sqft",,"$247,232","814 Greenwood Rd, Glenview, IL 60025",836, No, 2, 1,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 46.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/814-Greenwood-Rd-Glenview-IL-60025/3352979_zpid/
223,Townhouse,1966,Electric,Central,1 space,$150/month,No Data,No Data,"$299,000","1805 Wildberry Dr UNIT B, Glenview, IL 60025",, No, 2, 2, 1, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 35.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1805-Wildberry-Dr-UNIT-B-Glenview-IL-60025/2081651887_zpid/
224,Single Family,1939,No Data,Central,2 spaces,$21/month,0.47 acres,,"$854,570","1230 Westview Rd, Glenview, IL 60025","2,674", No, 4, 2,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 84.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1230-Westview-Rd-Glenview-IL-60025/3356688_zpid/
225,Single Family,1940,Forced air,Central,2 spaces,$20/month,0.52 acres,$276,"$959,000","1150 Westview Rd, Glenview, IL 60025","3,476", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 107.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1150-Westview-Rd-Glenview-IL-60025/3356692_zpid/
226,Condo,1960,Electric,No Data,1 space,$277/month,,No Data,"$159,900","1505 Plymouth Pl APT 2W, Glenview, IL 60025",, No, 2, 1, 1,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 65.4% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1505-Plymouth-Pl-APT-2W-Glenview-IL-60025/2127035150_zpid/
227,Single Family,1946,"Forced air, Gas",Central,2 spaces,,"9,679 sqft",$138,"$499,000","1833 Sunset Ridge Rd, Glenview, IL 60025","3,615", No, 4, 3, 3,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1833-Sunset-Ridge-Rd-Glenview-IL-60025/49913501_zpid/
