,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,HOA,Half bathrooms
171,Multiple Occupancy,1889,"Forced air, Gas",Other,No Data,,$857,"$899,900","1009 Wesley Ave, Evanston, IL 60202","1,050", No, 9, 5, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 172.7% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1009-Wesley-Ave-Evanston-IL-60202/2079672456_zpid/,, 1
172,Condo,1916,Gas,No Data,1 space,,$214,"$450,000","539 Sheridan Rd #2, Evanston, IL 60202","2,100", No, 3, 2, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 36.4% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/539-Sheridan-Rd-2-Evanston-IL-60202/2079026844_zpid/,$490/mo,
173,Single Family,1924,Baseboard,No Data,2 spaces,"7,000 sqft",,"$573,702","1121 Colfax St, Evanston, IL 60201","1,917", No, 4, 2, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 15.1% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1121-Colfax-St-Evanston-IL-60201/3563158_zpid/,, 1
174,Condo,1994,Forced air,Central,1 space,,$271,"$325,000","601 Linden Pl APT 121, Evanston, IL 60202","1,200", No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 1.5% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/601-Linden-Pl-APT-121-Evanston-IL-60202/2079085309_zpid/,$400/month,
175,Single Family,1918,"Forced air, Gas",Central,2 spaces,"5,601 sqft",$298,"$749,000","1411 Leonard Pl, Evanston, IL 60201","2,511", No, 4, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 50.3% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1411-Leonard-Pl-Evanston-IL-60201/3517829_zpid/,, 1
176,Condo,1953,Baseboard,No Data,None,,$167,"$149,900","608 Oakton St APT 2, Evanston, IL 60202",900, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 54.6% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/608-Oakton-St-APT-2-Evanston-IL-60202/3570060_zpid/,$281/month,
177,Single Family,1942,Forced air,Central,2 spaces,"8,908 sqft",$324,"$995,000","9414 Monticello Ave, Evanston, IL 60203","3,072", No, 4, 4, 3,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will fall 1.2% (↓) in the next year.This home is valued 148.3% higher (↑) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/9414-Monticello-Ave-Evanston-IL-60203/3519681_zpid/,, 1
178,Condo,1994,Forced air,Central,1 space,,$293,"$179,000","601 Linden Pl APT 219, Evanston, IL 60202",610, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 45.8% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/601-Linden-Pl-APT-219-Evanston-IL-60202/3567235_zpid/,$221/month,
179,Single Family,1895,Gas,Central,1 space,0.36 acres,$325,"$1,950,000","1104 Michigan Ave, Evanston, IL 60202","6,000", No, 6, 5, 4,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 490.9% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1104-Michigan-Ave-Evanston-IL-60202/3565682_zpid/,None, 1
180,Condo,1928,Gas,No Data,None,,$124,"$149,000","410 Ridge Ave APT 24-3, Evanston, IL 60202","1,200", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 54.8% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/410-Ridge-Ave-APT-24-3-Evanston-IL-60202/2103492013_zpid/,$346/month,
181,Condo,1922,Gas,Central,1 space,,$260,"$260,000","1230 Elmwood Ave APT 1E, Evanston, IL 60202","1,000", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Chicago-Dempster will fall 1.6% (↓) in the next year.This home is valued 21.2% lower (↓) than the median home in Chicago-Dempster.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1230-Elmwood-Ave-APT-1E-Evanston-IL-60202/2087779452_zpid/,$364/month,
182,Single Family,1956,Gas,Central,2 spaces,"10,754 sqft",$303,"$575,000","9301 Avers Ave, Evanston, IL 60203","1,900", No, 3, 2, 2,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will fall 1.2% (↓) in the next year.This home is valued 43.5% higher (↑) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/9301-Avers-Ave-Evanston-IL-60203/3519923_zpid/,,
183,Single Family,1930,Gas,Central,4 spaces,0.36 Acres,$260,"$1,799,000","2412 Lincolnwood Dr, Evanston, IL 60201","6,911", No, 4, 5, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 260.9% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2412-Lincolnwood-Dr-Evanston-IL-60201/3516262_zpid/,, 1
184,Condo,1964,"Radiant, Electric",Other,1 space,,$182,"$228,000","1101 Grove St APT 7A, Evanston, IL 60201","1,250", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 54.3% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1101-Grove-St-APT-7A-Evanston-IL-60201/3564016_zpid/,$363/mo,
185,Condo,1947,"Radiant, Other",Other,1 space,,$108,"$95,000","1864 Sherman Ave APT 1NW, Evanston, IL 60201",882, No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 80.9% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1864-Sherman-Ave-APT-1NW-Evanston-IL-60201/2144664729_zpid/,$942/mo,
186,Condo,2000,"Forced air, Gas",Central,1 space,,$322,"$435,000","1640 Maple Ave APT 1305, Evanston, IL 60201","1,353", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 12.7% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1640-Maple-Ave-APT-1305-Evanston-IL-60201/63691545_zpid/,$738/mo,
187,Single Family,1926,No Data,No Data,2 spaces,"6,098 sqft",,"$701,945","2425 Payne St, Evanston, IL 60201","2,055", No, 4, 3,,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 40.8% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2425-Payne-St-Evanston-IL-60201/3517574_zpid/,,
188,Condo,2002,Forced air,Central,2 spaces,,$327,"$539,900","1640 Maple Ave APT 906, Evanston, IL 60201","1,650", No, 2, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 8.3% higher (↑) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1640-Maple-Ave-APT-906-Evanston-IL-60201/63691520_zpid/,$856/month, 1
189,Condo,1923,Gas,Wall,None,,$205,"$200,000","721 Hinman Ave APT 2E, Evanston, IL 60202",976, No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 39.4% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/721-Hinman-Ave-APT-2E-Evanston-IL-60202/3567360_zpid/,$327/month,
190,Condo,2016,"Forced air, Gas",Central,1 space,,$236,"$289,000","1409 Dodge Ave #2, Evanston, IL 60201","1,224", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 42% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1409-Dodge-Ave-2-Evanston-IL-60201/2095546396_zpid/,$110/mo,
191,Condo,1920,Gas,No Data,1 space,,$198,"$237,000","638 Sheridan Sq APT 1, Evanston, IL 60202","1,200", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 28.2% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/638-Sheridan-Sq-APT-1-Evanston-IL-60202/3567964_zpid/,$551/month,
192,Single Family,1885,Forced air,No Data,2 spaces,"9,539 sqft",$320,"$1,150,000","1720 Asbury Ave, Evanston, IL 60201","3,590", No, 6, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 130.7% higher (↑) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1720-Asbury-Ave-Evanston-IL-60201/3518674_zpid/,, 1
193,Condo,1966,Forced air,Central,31 spaces,,$161,"$209,000","835 Ridge Ave APT 402, Evanston, IL 60202","1,300", No, 3, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 36.7% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/835-Ridge-Ave-APT-402-Evanston-IL-60202/3566173_zpid/,$591/month, 1
194,Condo,1966,Forced air,Central,1 space,,$186,"$223,000","835 Ridge Ave APT 302, Evanston, IL 60202","1,200", No, 3, 3, 2,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 32.4% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/835-Ridge-Ave-APT-302-Evanston-IL-60202/3566165_zpid/,$591/month, 1
195,Single Family,1898,"Forced air, Electric, Gas",Central,2 spaces,"8,498 sqft",$138,"$539,000","2725 Harrison St, Evanston, IL 60201","3,903", No, 3, 2, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 8.1% higher (↑) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2725-Harrison-St-Evanston-IL-60201/3515306_zpid/,, 1
196,Condo,2000,Forced air,Central,1 space,,No Data,"$290,000","800 Elgin Rd APT 619, Evanston, IL 60201",, No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 41.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/800-Elgin-Rd-APT-619-Evanston-IL-60201/70455362_zpid/,$723/month,
197,Single Family,1949,Forced air,Central,2 spaces,"4,373 sqft",$165,"$499,000","2011 Brummel St, Evanston, IL 60202","3,024", No, 5, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 51.2% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/2011-Brummel-St-Evanston-IL-60202/3542093_zpid/,None,
198,Single Family,1899,Other,Central,2 spaces,"7,500 sqft",$272,"$1,699,000","1225 Forest Ave, Evanston, IL 60202","6,250", No, 6, 4, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 414.9% higher (↑) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1225-Forest-Ave-Evanston-IL-60202/3565555_zpid/,None, 1
199,Single Family,1958,No Data,Central,No Data,"7,315 sqft",,"$368,709","3529 Arcadia St, Evanston, IL 60203","1,525", No, 3, 3,,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will decrease 1.2% (↓) in the next year.This home is valued 8% lower (↓) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/3529-Arcadia-St-Evanston-IL-60203/3521235_zpid/,,
200,Condo,1946,Gas,No Data,2 spaces,,$91,"$112,500","1860 Sherman Ave #2-3NC, Evanston, IL 60201","1,240", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 77.4% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1860-Sherman-Ave-2-3NC-Evanston-IL-60201/2079856358_zpid/,"$1,360/month",
201,Single Family,1918,Baseboard,No Data,2 spaces,0.39 acres,$266,"$875,000","2501 Harrison St, Evanston, IL 60201","3,292", No, 6, 3, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will decrease 2.3% (↓) in the next year.This home is valued 75.5% higher (↑) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2501-Harrison-St-Evanston-IL-60201/3515382_zpid/,None,
202,Condo,1960,Baseboard,None,1 space,,$161,"$112,600","1619 Howard St APT B2, Evanston, IL 60202",700, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will fall 1.6% (↓) in the next year.This home is valued 65.9% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1619-Howard-St-APT-B2-Evanston-IL-60202/63691317_zpid/,$243/month,
203,Condo,1908,Forced air,Central,None,,No Data,"$250,000","316 Main St APT 2, Evanston, IL 60202",, No, 3, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will decrease 1.6% (↓) in the next year.This home is valued 24.2% lower (↓) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/316-Main-St-APT-2-Evanston-IL-60202/3567001_zpid/,$375/month,
204,Condo,1927,Gas,No Data,No Data,,,"$122,500","730 Noyes St #K2, Evanston, IL 60201",, No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Noyes and Foster will fall 2.3% (↓) in the next year.This home is valued 75.4% lower (↓) than the median home in Noyes and Foster.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/730-Noyes-St-K2-Evanston-IL-60201/2079947632_zpid/,$687/mo,
205,Condo,2000,Forced air,Central,1 space,,$256,"$269,000","1640 Maple Ave APT 305, Evanston, IL 60201","1,050", No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 46% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1640-Maple-Ave-APT-305-Evanston-IL-60201/63691492_zpid/,$563/month,
206,Single Family,1926,"Forced air, Gas",No Data,2 spaces,"5,214 sqft",,"$349,118","1413 Grey Ave, Evanston, IL 60201","1,521", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 30% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1413-Grey-Ave-Evanston-IL-60201/3518874_zpid/,,
207,Single Family,1920,"Forced air, Gas",Central,1 space,"2,252 sqft",$411,"$329,000","2222 Grey Ave, Evanston, IL 60201",800, No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 34% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2222-Grey-Ave-Evanston-IL-60201/3517519_zpid/,,
208,Condo,1924,Gas,No Data,None,,$157,"$185,000","720 Noyes St #3D, Evanston, IL 60201","1,182", No, 2, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 62.9% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/720-Noyes-St-3D-Evanston-IL-60201/2080127295_zpid/,$951/month,
209,Single Family,1949,No Data,No Data,No Data,"2,938 sqft",,"$286,663","143 Custer Ave, Evanston, IL 60202","1,356", No, 3, 2,,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Howard Street will decrease 1.6% (↓) in the next year.This home is valued 13.1% lower (↓) than the median home in Howard Street.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/143-Custer-Ave-Evanston-IL-60202/3570210_zpid/,,
210,Single Family,1962,No Data,Central,No Data,"4,492 sqft",,"$332,045","1531 Mcdaniel Ave APT C, Evanston, IL 60201","1,216", No, 3, 3,,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 33.4% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1531-Mcdaniel-Ave-APT-C-Evanston-IL-60201/3518757_zpid/,,
211,Condo,1949,Radiant,Wall,21 spaces,,$116,"$127,500","1585 Ridge Ave APT 611, Evanston, IL 60201","1,100", No, 1, 1, 1,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 74.4% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1585-Ridge-Ave-APT-611-Evanston-IL-60201/2122366560_zpid/,$705/month,
212,Condo,2000,"Forced air, Electric",Central,2 spaces,,$271,"$315,000","800 Elgin Rd APT 519, Evanston, IL 60201","1,164", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will decrease 2.3% (↓) in the next year.This home is valued 36.8% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/800-Elgin-Rd-APT-519-Evanston-IL-60201/70397019_zpid/,$883/mo,
213,Single Family,1954,No Data,No Data,2 spaces,"4,375 sqft",,"$286,030","2005 Dobson St, Evanston, IL 60202","1,005", No, 3, 1,,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 13.3% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/2005-Dobson-St-Evanston-IL-60202/3542178_zpid/,,
214,Single Family,1972,No Data,Central,2 spaces,"8,500 sqft",,"$573,389","1633 Fowler Ave, Evanston, IL 60201","2,800", No, 3, 3,,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 15% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1633-Fowler-Ave-Evanston-IL-60201/3518712_zpid/,,
215,Single Family,1926,No Data,No Data,No Data,"6,000 sqft",,"$247,868","1728 Brown Ave, Evanston, IL 60201","1,132", No, 2, 1,,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Side will fall 2.3% (↓) in the next year.This home is valued 50.3% lower (↓) than the median home in West Side.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1728-Brown-Ave-Evanston-IL-60201/3518353_zpid/,,
216,Single Family,1960,No Data,Central,1 space,"7,315 sqft",,"$379,427","3509 Arcadia St, Evanston, IL 60203","1,323", No, 3, 2,,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will fall 1.2% (↓) in the next year.This home is valued 5.3% lower (↓) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/3509-Arcadia-St-Evanston-IL-60203/3521239_zpid/,,
217,Single Family,1925,"Forced air, Gas",Central,2 spaces,0.28 Acres,$518,"$1,599,000","2245 Central Park Ave, Evanston, IL 60201","3,087", No, 5, 4, 3,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 220.8% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2245-Central-Park-Ave-Evanston-IL-60201/3516374_zpid/,, 1
218,Single Family,1889,Forced air,Central,1 space,"3,750 sqft",$256,"$824,000","1817 Greenwood St, Evanston, IL 60201","3,220", No, 4, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 65.3% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1817-Greenwood-St-Evanston-IL-60201/2094182344_zpid/,, 1
219,Single Family,2000,"Forced air, Gas",Central,2 spaces,"7,740 sqft",$224,"$895,000","2530 Princeton Ave, Evanston, IL 60201","4,000", No, 5, 5, 4,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will decrease 2.3% (↓) in the next year.This home is valued 79.6% higher (↑) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2530-Princeton-Ave-Evanston-IL-60201/3514394_zpid/,, 1
220,Condo,1923,Forced air,Other,None,,$191,"$229,000","498 Sheridan Rd #G, Evanston, IL 60202","1,200", No, 2, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will fall 1.6% (↓) in the next year.This home is valued 30.6% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/498-Sheridan-Rd-G-Evanston-IL-60202/2080721429_zpid/,$522/month,
221,Single Family,1993,Forced air,Central,2 spaces,"4,011 sqft",$229,"$699,000","942 Sherman Ave, Evanston, IL 60202","3,054", No, 3, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Main-Chicago will fall 1.6% (↓) in the next year.This home is valued 111.8% higher (↑) than the median home in Main-Chicago.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/942-Sherman-Ave-Evanston-IL-60202/3565469_zpid/,,
222,Single Family,1942,Forced air,Central,None,"5,109 sqft",$223,"$244,900","2711 Elgin Rd, Evanston, IL 60201","1,096", No, 3, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60201 will fall 2.3% (↓) in the next year.This home is valued 50.9% lower (↓) than the median home in 60201.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/2711-Elgin-Rd-Evanston-IL-60201/3520096_zpid/,,
223,Condo,1925,Electric,No Data,None,,$160,"$120,000","542 Sheridan Rd #G, Evanston, IL 60202",750, No, 1, 1, 1,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60202 will decrease 1.6% (↓) in the next year.This home is valued 63.6% lower (↓) than the median home in 60202.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/542-Sheridan-Rd-G-Evanston-IL-60202/2080834298_zpid/,None,
224,Condo,2006,Forced air,Central,1 space,,$337,"$445,000","807 Davis St UNIT 313, Evanston, IL 60201","1,321", No, 2, 2, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Downtown will fall 2.3% (↓) in the next year.This home is valued 10.7% lower (↓) than the median home in Downtown.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/807-Davis-St-UNIT-313-Evanston-IL-60201/89892761_zpid/,$618/month,
225,Single Family,1954,No Data,Central,2 spaces,"8,500 sqft",,"$287,905","1113 Mcdaniel Ave, Evanston, IL 60202","1,120", No, 3, 1,,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West End will fall 1.6% (↓) in the next year.This home is valued 12.8% lower (↓) than the median home in West End.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1113-Mcdaniel-Ave-Evanston-IL-60202/3540252_zpid/,,
226,Condo,1978,No Data,No Data,No Data,,No Data,"$222,447","9201 Drake Ave APT 103, Evanston, IL 60203","1,200", No, 2, 2,,"Home values in 60203 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in 60203 will fall 1.2% (↓) in the next year.This home is valued 44.5% lower (↓) than the median home in 60203.The median Zestimate® for this neighborhood is $400,738.",https://www.zillow.com/homedetails/9201-Drake-Ave-APT-103-Evanston-IL-60203/3520455_zpid/,$538/month,
227,Townhouse,1979,Electric,Central,2 spaces,1.62 acres,$253,"$455,000","1211 Central St APT C, Evanston, IL 60201","1,800", No, 3, 3, 2,"Home values in 60201 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in Central Street will fall 2.3% (↓) in the next year.This home is valued 8.7% lower (↓) than the median home in Central Street.The median Zestimate® for this neighborhood is $498,460.",https://www.zillow.com/homedetails/1211-Central-St-APT-C-Evanston-IL-60201/89891662_zpid/,$638/month, 1
228,Single Family,1922,Gas,Central,2 spaces,"5,850 sqft",$247,"$595,000","1506 Dempster St, Evanston, IL 60202","2,409", No, 4, 3, 3,"Home values in 60202 have fallen 2.0 % (↓) over the past 12 months.Zillow predicts the home values in West Village will decrease 1.6% (↓) in the next year.This home is valued 80.3% higher (↑) than the median home in West Village.The median Zestimate® for this neighborhood is $329,995.",https://www.zillow.com/homedetails/1506-Dempster-St-Evanston-IL-60202/3540631_zpid/,,
