,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA
427,,,,,,,,"$356,990","3892 W Pilton Ct, Salt Lake City, UT 84129",, Yes, 3, 3, 2,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will rise 5.7% (↑) in the next year.This home is valued 9.3% higher (↑) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/community/muirhouse/2078072396_zpid/, 1,
428,,,,,,,,"$397,990","4726 S Hillhouse Cv UNIT 105, Murray, UT 84107",, Yes, 3, 3, 2,"Home values in 84107 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84107 will rise 6% (↑) in the next year.This home is valued 13.7% higher (↑) than the median home in 84107.The median Zestimate® for this neighborhood is $349,940.",https://www.zillow.com/community/granton-square/2083522933_zpid/, 1,
429,Single Family,2020,"Forced air, Gas",Central,2 spaces,No Data,$193,"$789,950","Buildable plan: Bougival, Giverny, Cottonwood Heights, UT 84093",, Yes, 3, 4, 3,"Home values in 84093 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84093 will increase 3.5% (↑) in the next year.This home is valued 56.7% higher (↑) than the median home in 84093.The median Zestimate® for this neighborhood is $504,212.",https://www.zillow.com/community/giverny/2085504389_zpid/, 1,
430,,,,,,,,"$501,995","Lot #0132, Toll Brothers at Rosecrest - Noria Collection, Herriman, UT 84096",, Yes, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 14.6% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-noria-collection/2081772707_zpid/, 1,
431,Single Family,1992,"Forced air, Other, Gas",Central,2 spaces,"5,227 sqft",$179,"$450,000","455 E Adaley Ave, Murray, UT 84107","2,515", No, 4, 3, 2,"Home values in 84107 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84107 will increase 6% (↑) in the next year.This home is valued 28.6% higher (↑) than the median home in 84107.The median Zestimate® for this neighborhood is $349,940.",https://www.zillow.com/homedetails/455-E-Adaley-Ave-Murray-UT-84107/12866888_zpid/, 1,
432,,,,,,,,"$567,995","Lot #0163, Toll Brothers at Rosecrest - Noria Collection, Herriman, UT 84096",, Yes, 4, 4, 3,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 29.7% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-noria-collection/2079456154_zpid/, 1,
433,Single Family,1909,Other,None,3 spaces,"3,920 sqft",$284,"$289,000","122 W Lucy Ave, Salt Lake City, UT 84101","1,018", No, 3, 1, 1,"Home values in 84101 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in People's Freeway will increase 2.8% (↑) in the next year.This home is valued 23.7% lower (↓) than the median home in People's Freeway.The median Zestimate® for this neighborhood is $378,725.",https://www.zillow.com/homedetails/122-W-Lucy-Ave-Salt-Lake-City-UT-84101/12740046_zpid/,,
434,Single Family,2018,No Data,No Data,2 spaces,"9,583 sqft",$312,"$850,000","4772 S Millrace Ln, Salt Lake City, UT 84107","2,721", No, 4, 3, 3,"Home values in 84107 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84107 will increase 6% (↑) in the next year.This home is valued 142.9% higher (↑) than the median home in 84107.The median Zestimate® for this neighborhood is $349,940.",https://www.zillow.com/homedetails/4772-S-Millrace-Ln-Salt-Lake-City-UT-84107/2077692686_zpid/,,
435,Single Family,1950,No Data,No Data,4 spaces,"8,276 sqft",$166,"$289,900","7754 W 2820 S, Magna, UT 84044","1,744", No, 3, 2, 2,"Home values in 84044 have risen 5.6 % (↑) over the past 12 months.Zillow predicts the home values in 84044 will rise 5.5% (↑) in the next year.This home is valued 3% higher (↑) than the median home in 84044.The median Zestimate® for this neighborhood is $281,589.",https://www.zillow.com/homedetails/7754-W-2820-S-Magna-UT-84044/2078163179_zpid/,,
436,Single Family,2020,No Data,No Data,3 spaces,"9,147 sqft",$238,"$1,130,191","11033 S Lake Island Dr #368, South Jordan, UT 84009","4,756", Yes, 5, 5, 4,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 163.5% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11033-S-Lake-Island-Dr-368-South-Jordan-UT-84009/2077695361_zpid/, 1,
437,Single Family,2020,No Data,No Data,2 spaces,No Data,$218,"$406,990","Buildable plan: Mahogany, SpringHouse Village, South Jordan, UT 84009",, Yes, 2, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 5.1% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/springhouse-village/2079528380_zpid/, 1,
438,Single Family,1950,Other,None,2 spaces,"8,276 sqft",$157,"$399,900","110 W Garden View Dr, Midvale, UT 84047","2,545", No, 5, 3, 2,"Home values in 84047 have risen 4.5 % (↑) over the past 12 months.Zillow predicts the home values in 84047 will increase 4.8% (↑) in the next year.This home is valued 20% higher (↑) than the median home in 84047.The median Zestimate® for this neighborhood is $333,183.",https://www.zillow.com/homedetails/110-W-Garden-View-Dr-Midvale-UT-84047/12847910_zpid/, 1,
439,Single Family,1947,Other,Evaporative,1 space,"8,712 sqft",$164,"$425,000","224 E Greenwood Ave, Midvale, UT 84047","2,598", No, 4, 2, 2,"Home values in 84047 have risen 4.5 % (↑) over the past 12 months.Zillow predicts the home values in 84047 will rise 4.8% (↑) in the next year.This home is valued 27.6% higher (↑) than the median home in 84047.The median Zestimate® for this neighborhood is $333,183.",https://www.zillow.com/homedetails/224-E-Greenwood-Ave-Midvale-UT-84047/12880333_zpid/,,
440,Condo,1972,"Baseboard, Electric",No Data,1 space,,$194,"$125,900","751 S 300 E APT D306, Salt Lake City, UT 84111",649, No, 2, 1, 1,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 70% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/751-S-300-E-APT-D306-Salt-Lake-City-UT-84111/2097457315_zpid/,,$209/mo
441,Single Family,2004,"Other, Gas","Refrigerator, Central, Solar",2 spaces,"8,276 sqft",$165,"$815,000","6276 S Mount Logan Way, Taylorsville, UT 84129","4,925", No, 6, 4,,"Home values in 84129 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84129 will rise 5.7% (↑) in the next year.This home is valued 149.6% higher (↑) than the median home in 84129.The median Zestimate® for this neighborhood is $326,516.",https://www.zillow.com/homedetails/6276-S-Mount-Logan-Way-Taylorsville-UT-84129/69717383_zpid/,,
442,Single Family,1998,Other,Central,2 spaces,"3,920 sqft",$177,"$425,000","9076 S Enchanted Oak Ln, Sandy, UT 84094","2,400", No, 3, 4, 3,"Home values in 84094 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84094 will rise 4.4% (↑) in the next year.This home is valued 15.7% higher (↑) than the median home in 84094.The median Zestimate® for this neighborhood is $367,478.",https://www.zillow.com/homedetails/9076-S-Enchanted-Oak-Ln-Sandy-UT-84094/12912147_zpid/, 1,
443,Single Family,2020,No Data,No Data,2 spaces,No Data,$236,"$466,990","Buildable plan: Nebo, Cedar Canyon, Pleasant Grove, UT 84062",, Yes, 3, 3, 2,"Home values in 84062 have risen 6.0 % (↑) over the past 12 months.Zillow predicts the home values in 84062 will rise 6% (↑) in the next year.This home is valued 20.5% higher (↑) than the median home in 84062.The median Zestimate® for this neighborhood is $387,393.",https://www.zillow.com/community/cedar-canyon/2078530314_zpid/, 1,
444,,,,,,,,"$673,995","Lot #0144, Canyon Point at Traverse Mountain - The Summit Collection, Lehi, UT 84043",, Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 71.8% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-summit-collection/2082448608_zpid/, 1,
445,,,,,,,,"$524,990","14737 S Glacial Peak Dr, Draper, UT 84020",, Yes, 4, 3, 3,,https://www.zillow.com/community/edelweiss/2078072404_zpid/,,
446,,,,,,,,"$567,995","Lot #0169, Toll Brothers at Rosecrest - Noria Collection, Herriman, UT 84096",, Yes, 4, 4, 3,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 29.7% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-noria-collection/2079456162_zpid/, 1,
447,Single Family,1968,Forced air,Other,No Data,0.38 Acres,$244,"$890,000","4505 S Gilead Way, Salt Lake City, UT 84124","3,652", No, 5, 3, 3,"Home values in 84124 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84124 will increase 3.3% (↑) in the next year.This home is valued 59.9% higher (↑) than the median home in 84124.The median Zestimate® for this neighborhood is $556,483.",https://www.zillow.com/homedetails/4505-S-Gilead-Way-Salt-Lake-City-UT-84124/12849649_zpid/,,
448,Single Family,2020,No Data,No Data,3 spaces,No Data,$197,"$371,990","Buildable plan: BENCHMARK, Spring House Village At Daybreak, South Jordan, UT 84009",, Yes, 3, 3, 3,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 13.3% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/spring-house-village-at-daybreak/2078070163_zpid/,,
449,,,,,,,,"$530,995","Lot #0113, Canyon Point at Traverse Mountain - The Cascade Collection, Lehi, UT 84043",, Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 35.3% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-cascade-collection/2077786097_zpid/, 1,
450,Single Family,2020,No Data,No Data,2 spaces,No Data,$178,"$475,950","Buildable plan: Hopewell, Jackson, Herriman, UT 84096",, Yes, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 8.7% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/jackson/2078676959_zpid/, 1,
451,Single Family,1999,"Forced air, Gas",Central,2 spaces,"3,920 sqft",$175,"$349,900","8488 W Merriton Ct, Magna, UT 84044","2,000", No, 4, 4, 3,"Home values in 84044 have risen 5.6 % (↑) over the past 12 months.Zillow predicts the home values in 84044 will rise 5.5% (↑) in the next year.This home is valued 24.3% higher (↑) than the median home in 84044.The median Zestimate® for this neighborhood is $281,589.",https://www.zillow.com/homedetails/8488-W-Merriton-Ct-Magna-UT-84044/52834367_zpid/, 1,
452,Single Family,2020,No Data,No Data,2 spaces,No Data,$223,"$446,990","Buildable plan: Hyde, SpringHouse Village, South Jordan, UT 84009",, Yes, 2, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 4.2% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/springhouse-village/2080945511_zpid/, 1,
453,Single Family,2020,No Data,No Data,1 space,No Data,$257,"$335,990","Buildable plan: Rockport (S), Holbrook Farms - Carriage House, Lehi, UT 84043",, Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 14.4% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/holbrook-farms-carriage-house/2080064873_zpid/, 1,
454,Townhouse,2020,"Forced air, Electric",Central,2 spaces,No Data,$180,"$419,900","Buildable plan: Grand Slam with Roof Deck End, Sky Terrace Collection, South Jordan, UT 84009",, Yes, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 2.1% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/sky-terrace-collection/2081105842_zpid/, 1,
455,Single Family,2020,"Forced air, Gas",Central,3 spaces,No Data,$193,"$1,037,950","Buildable plan: Waterlily, Giverny, Cottonwood Heights, UT 84093",, Yes, 2, 3, 2,"Home values in 84093 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84093 will increase 3.5% (↑) in the next year.This home is valued 105.9% higher (↑) than the median home in 84093.The median Zestimate® for this neighborhood is $504,212.",https://www.zillow.com/community/giverny/2085504396_zpid/, 1,
456,Single Family,2020,No Data,No Data,2 spaces,No Data,$169,"$323,990","Buildable plan: Buckingham - DRR, Regency at Day Ranch, Bluffdale, UT 84065",, Yes, 3, 3, 2,,https://www.zillow.com/community/regency-at-day-ranch/2082133202_zpid/, 1,
457,,,,,,,,"$597,995","Lot #0171, Toll Brothers at Rosecrest - Reserve Collection, Herriman, UT 84096",, Yes, 3, 2, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 36.6% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/toll-brothers-at-rosecrest-reserve-collection/2079048922_zpid/,,
458,,,,,,,,"$634,900","1992 E Stonecroft Way, Sandy, UT 84092",, Yes, 3, 2, 2,"Home values in 84092 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84092 will increase 4.4% (↑) in the next year.This home is valued 15% higher (↑) than the median home in 84092.The median Zestimate® for this neighborhood is $552,092.",https://www.zillow.com/community/stonecroft/2078404605_zpid/,,
459,Townhouse,2016,Forced air,No Data,No Data,"1,742 sqft",$142,"$389,900","12568 S Bridal Veil Dr W, Riverton, UT 84065","2,745", No, 2, 2, 2,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will increase 4.1% (↑) in the next year.This home is valued 9.4% lower (↓) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/12568-S-Bridal-Veil-Dr-W-Riverton-UT-84065/2077705536_zpid/,,
460,Single Family,1986,"Forced air, Gas",Central,No Data,0.32 Acres,$252,"$390,000","1483 W 12290 S, Riverton, UT 84065","1,550", No, 3, 2, 1,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will increase 4.1% (↑) in the next year.This home is valued 9.4% lower (↓) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/1483-W-12290-S-Riverton-UT-84065/12903214_zpid/, 1,
461,Single Family,1993,Other,Central,No Data,"9,583 sqft",$191,"$699,900","7346 S Pippin Dr, Cottonwood Heights, UT 84121","3,662", No, 3, 3, 2,,https://www.zillow.com/homedetails/7346-S-Pippin-Dr-Cottonwood-Heights-UT-84121/12873646_zpid/, 1,
462,Single Family,1955,No Data,No Data,No Data,"5,227 sqft",$261,"$685,000","1781 S Texas St E, Salt Lake City, UT 84108","2,620", No, 4, 3, 2,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will rise 4.5% (↑) in the next year.This home is valued 46.3% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/1781-S-Texas-St-E-Salt-Lake-City-UT-84108/2077705572_zpid/, 1,
463,Single Family,1948,Other,Central,No Data,"5,662 sqft",$337,"$625,000","1421 E Hollywood Ave, Salt Lake City, UT 84105","1,853", No, 4, 2, 2,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 33.5% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/1421-E-Hollywood-Ave-Salt-Lake-City-UT-84105/12767913_zpid/,,
464,Multiple Occupancy,1955,Forced air,No Data,No Data,,$261,"$685,000","1781 S Texas St, Salt Lake City, UT 84108","2,620", No, 4, 3, 3,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will increase 4.5% (↑) in the next year.This home is valued 46.3% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/1781-S-Texas-St-Salt-Lake-City-UT-84108/12765847_zpid/,,
465,Townhouse,2014,No Data,No Data,2 spaces,871 sqft,$201,"$427,500","395 E Union Farm Dr S #75, Midvale, UT 84047","2,125", No, 3, 3, 2,"Home values in 84047 have risen 4.5 % (↑) over the past 12 months.Zillow predicts the home values in 84047 will rise 4.8% (↑) in the next year.This home is valued 28.3% higher (↑) than the median home in 84047.The median Zestimate® for this neighborhood is $333,183.",https://www.zillow.com/homedetails/395-E-Union-Farm-Dr-S-75-Midvale-UT-84047/2077705849_zpid/, 1,
466,Single Family,1926,No Data,No Data,No Data,"5,227 sqft",$311,"$280,000","2705 S West Temp W, Salt Lake City, UT 84115",900, No, 2, 1, 1,"Home values in 84115 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84115 will increase 6.3% (↑) in the next year.This home is valued 13.6% lower (↓) than the median home in 84115.The median Zestimate® for this neighborhood is $324,148.",https://www.zillow.com/homedetails/2705-S-West-Temp-W-Salt-Lake-City-UT-84115/2077705851_zpid/,,
467,Single Family,2006,"Forced air, Gas",Central,2 spaces,"5,662 sqft",$171,"$549,000","15119 S Eagle Chase Dr, Draper, UT 84020","3,209", No, 6,,,,https://www.zillow.com/homedetails/15119-S-Eagle-Chase-Dr-Draper-UT-84020/79765956_zpid/,,
468,Single Family,1954,Other,None,No Data,0.56 Acres,$150,"$350,000","4945 W 3500 S, West Valley City, UT 84120","2,340", No, 2, 1, 1,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in Hunter East will rise 5.7% (↑) in the next year.This home is valued 14.3% higher (↑) than the median home in Hunter East.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/4945-W-3500-S-West-Valley-City-UT-84120/12734043_zpid/,,
469,Single Family,2020,No Data,No Data,1 space,No Data,$173,"$385,990","Buildable plan: Julien, Holbrook Farms - Carriage House, Lehi, UT 84043",, Yes, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 1.6% lower (↓) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/holbrook-farms-carriage-house/2080495081_zpid/, 1,
470,Single Family,No Data,No Data,No Data,2 spaces,No Data,$263,"$490,786","4694 W Camellia Ln, Pleasant Grove, UT 84062",, Yes, 3, 3, 2,"Home values in 84062 have risen 6.0 % (↑) over the past 12 months.Zillow predicts the home values in 84062 will increase 6% (↑) in the next year.This home is valued 26.7% higher (↑) than the median home in 84062.The median Zestimate® for this neighborhood is $387,393.",https://www.zillow.com/homedetails/4694-W-Camellia-Ln-Pleasant-Grove-UT-84062/2077707007_zpid/, 1,
471,Single Family,1998,"Other, Gas","Central, Solar",2 spaces,"8,276 sqft",$196,"$369,900","3425 S Park Vista Dr, West Valley, UT 84120","1,883", No, 4, 3, 2,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in 84120 will increase 5.7% (↑) in the next year.This home is valued 20.8% higher (↑) than the median home in 84120.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/3425-S-Park-Vista-Dr-West-Valley-UT-84120/12723915_zpid/, 1,
472,Single Family,2020,No Data,No Data,2 spaces,No Data,$186,"$328,990","Buildable plan: Birkhall - DRR, Regency at Day Ranch, Bluffdale, UT 84065",, Yes, 2, 3, 2,,https://www.zillow.com/community/regency-at-day-ranch/2082133201_zpid/, 1,
473,Single Family,2020,"Forced air, Gas",Central,2 spaces,No Data,$185,"$746,950","Buildable plan: Galette, Giverny, Cottonwood Heights, UT 84093",, Yes, 3, 3, 2,"Home values in 84093 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84093 will rise 3.5% (↑) in the next year.This home is valued 48.1% higher (↑) than the median home in 84093.The median Zestimate® for this neighborhood is $504,212.",https://www.zillow.com/community/giverny/2085504401_zpid/, 1,
474,Single Family,1997,No Data,No Data,2 spaces,"10,018 sqft",$171,"$439,900","534 W 2375 N, Lehi, UT 84043","2,580", No, 5, 3, 3,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will rise 4.9% (↑) in the next year.This home is valued 12.1% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/534-W-2375-N-Lehi-UT-84043/2077709705_zpid/,,
475,Single Family,1963,"Forced air, Gas",Central,2 spaces,"7,840 sqft",$158,"$399,000","9048 S Greenwood Dr, Sandy, UT 84070","2,520", No, 4, 2, 1,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will increase 5.3% (↑) in the next year.This home is valued 12.3% higher (↑) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/9048-S-Greenwood-Dr-Sandy-UT-84070/12913228_zpid/, 1,
476,Single Family,2016,No Data,No Data,No Data,"1,306 sqft",$169,"$355,000","12246 S Ryder Ct, Draper, UT 84020","2,099", No, 3, 3, 2,,https://www.zillow.com/homedetails/12246-S-Ryder-Ct-Draper-UT-84020/248854809_zpid/, 1,
477,Single Family,1991,"Forced air, Gas",Central,2 spaces,0.33 Acres,$241,"$524,900","12666 S Clover Dr, Draper, UT 84020","2,176", No, 4, 2, 2,,https://www.zillow.com/homedetails/12666-S-Clover-Dr-Draper-UT-84020/12931320_zpid/,,
478,Condo,1972,No Data,No Data,1 space,,$182,"$110,000","732 S 400 E #E-J-108, Salt Lake City, UT 84111",605, No, 1, 1, 1,"Home values in Salt Lake City have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in Central City will increase 5.3% (↑) in the next year.This home is valued 73.8% lower (↓) than the median home in Central City.The median Zestimate® for this neighborhood is $419,987.",https://www.zillow.com/homedetails/732-S-400-E-E-J-108-Salt-Lake-City-UT-84111/2077712200_zpid/,,$173/mo
479,Single Family,2005,"Forced air, Gas",Central,2 spaces,"8,712 sqft",$150,"$549,000","14264 S Maple Run Cir, Herriman, UT 84096","3,660", No, 5, 4,,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 25.4% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/14264-S-Maple-Run-Cir-Herriman-UT-84096/63152762_zpid/,,
480,Single Family,2012,"Other, Gas, Other",Central,2 spaces,871 sqft,$241,"$293,000","3728 W Mandrake Way, South Jordan, UT 84095","1,218", No, 2, 2,,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will rise 3.7% (↑) in the next year.This home is valued 43.7% lower (↓) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/3728-W-Mandrake-Way-South-Jordan-UT-84095/89417100_zpid/,,
481,Townhouse,1977,Other,None,2 spaces,"1,742 sqft",$124,"$285,000","57 W San Rafael Ct, West Jordan, UT 84088","2,302", No, 4, 2, 2,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will rise 5.2% (↑) in the next year.This home is valued 24.8% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/57-W-San-Rafael-Ct-West-Jordan-UT-84088/12846383_zpid/,,
482,Single Family,1987,Other,None,No Data,"5,227 sqft",$177,"$335,000","3062 W Linton Cir, West Jordan, UT 84088","1,898", No, 4, 2, 1,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 11.6% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/3062-W-Linton-Cir-West-Jordan-UT-84088/12845389_zpid/, 1,
483,Single Family,1953,"Other, Gas",Evaporative,5 spaces,0.30 Acres,$202,"$369,900","981 E 4500 S, Salt Lake City, UT 84117","1,830", No, 3, 2, 2,"Home values in 84117 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84117 will increase 3.4% (↑) in the next year.This home is valued 22.1% lower (↓) than the median home in 84117.The median Zestimate® for this neighborhood is $474,747.",https://www.zillow.com/homedetails/981-E-4500-S-Salt-Lake-City-UT-84117/12854643_zpid/,,
484,Single Family,2003,"Forced air, Gas",Central,2 spaces,"7,405 sqft",$196,"$420,000","6519 W Oak Bridge Dr, West Jordan, UT 84081","2,140", No, 4, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will rise 5.1% (↑) in the next year.This home is valued 8.9% higher (↑) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6519-W-Oak-Bridge-Dr-West-Jordan-UT-84081/61168613_zpid/, 1,
485,Townhouse,2020,No Data,No Data,2 spaces,435 sqft,$274,"$465,000","1839 E Melbourne Ct, Salt Lake City, UT 84106","1,700", No, 2, 3, 2,"Home values in 84106 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84106 will rise 4.4% (↑) in the next year.This home is valued 11% higher (↑) than the median home in 84106.The median Zestimate® for this neighborhood is $418,741.",https://www.zillow.com/homedetails/1839-E-Melbourne-Ct-Salt-Lake-City-UT-84106/2077716891_zpid/, 1,
486,Townhouse,2020,No Data,No Data,2 spaces,435 sqft,$272,"$545,000","1842 E Melbourne Ct, Salt Lake City, UT 84106","2,003", No, 3, 4, 2,"Home values in 84106 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84106 will rise 4.4% (↑) in the next year.This home is valued 30.2% higher (↑) than the median home in 84106.The median Zestimate® for this neighborhood is $418,741.",https://www.zillow.com/homedetails/1842-E-Melbourne-Ct-Salt-Lake-City-UT-84106/2077716889_zpid/, 2,
487,,,,,,,,"$615,995","Lot #0136, Canyon Point at Traverse Mountain - The Cascade Collection, Lehi, UT 84043",, Yes, 4, 4, 3,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 57% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-cascade-collection/2082448585_zpid/, 1,
