,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
290,Single Family,1995,"Forced air, Gas",Central,3 spaces,0.37 Acres,$169,"$739,000","4376 Camelot Cir, Naperville, IL 60564","4,375", No, 5, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Run will rise 0.7% (↑) in the next year.This home is valued 71.3% higher (↑) than the median home in River Run.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4376-Camelot-Cir-Naperville-IL-60564/5372276_zpid/,,For Sale
291,Single Family,1995,"Forced air, Gas",Central,4 spaces,0.92 Acres,$202,"$690,000","24365 Woodhall Ct, Naperville, IL 60564","3,421", No, 5, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tamarack will rise 0.7% (↑) in the next year.This home is valued 60% higher (↑) than the median home in Tamarack.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/24365-Woodhall-Ct-Naperville-IL-60564/5373780_zpid/,,For Sale
292,Single Family,1957,"Baseboard, Electric, Gas",Central,2 spaces,0.62 Acres,$229,"$289,900","25W150 Fairmeadow Ln, Naperville, IL 60563","1,264", No, 3, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 9.8% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/25W150-Fairmeadow-Ln-Naperville-IL-60563/4459129_zpid/,,For Sale
293,Single Family,1988,Forced air,Central,2 spaces,0.45 acres,$185,"$874,900","1214 Olesen Dr, Naperville, IL 60540","4,737", No, 5, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 111.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1214-Olesen-Dr-Naperville-IL-60540/4547905_zpid/,None,For Sale
294,Single Family,1973,Forced air,Central,2 spaces,"10,058 sqft",$168,"$399,900","1628 Verdin Ln, Naperville, IL 60565","2,380", No, 4, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Maplebrook will increase 1.2% (↑) in the next year.This home is valued 0.9% higher (↑) than the median home in Maplebrook.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1628-Verdin-Ln-Naperville-IL-60565/4550719_zpid/,None,For Sale
295,Single Family,1983,Forced air,Central,2 spaces,"4,874 sqft",$195,"$299,900","1013 Oswego Rd, Naperville, IL 60540","1,535", No, 3, 2, 1, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 27.4% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1013-Oswego-Rd-Naperville-IL-60540/4512725_zpid/,$26/month,For Sale
296,Single Family,1979,"Forced air, Gas",Central,2 spaces,0.28 Acres,$269,"$649,000","1632 Fox Bend Ct, Naperville, IL 60563","2,415", No, 3, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek Commons will rise 0.9% (↑) in the next year.This home is valued 101.9% higher (↑) than the median home in Cress Creek Commons.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1632-Fox-Bend-Ct-Naperville-IL-60563/4503648_zpid/,,For Sale
297,Single Family,1981,"Forced air, Gas",Central,2 spaces,0.26 Acres,$149,"$311,000","1316 Oconto Ct, Naperville, IL 60564","2,093", No, 4, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Spring Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 27.9% lower (↓) than the median home in Spring Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1316-Oconto-Ct-Naperville-IL-60564/5366000_zpid/,,For Sale
298,Single Family,2020,Gas,Central,3 spaces,0.32 acres,$229,"$799,900","4475 Sassafras Ln, Naperville, IL 60564","3,500", Yes, 4, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 85.5% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4475-Sassafras-Ln-Naperville-IL-60564/242073467_zpid/,$121/month,For Sale
299,Single Family,2020,Forced air,Central,3 spaces,0.3 acres,$206,"$720,000","4207 Chinaberry Ln, Naperville, IL 60564","3,500", Yes, 4, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 66.9% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4207-Chinaberry-Ln-Naperville-IL-60564/242073501_zpid/,$121/month,For Sale
300,Single Family,2020,"Forced air, Gas",Central,3 spaces,0.39 Acres,$229,"$879,900","4451 Sassafras Ln, Naperville, IL 60564","3,850", Yes, 5, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 104% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4451-Sassafras-Ln-Naperville-IL-60564/242073461_zpid/,,For Sale
301,Townhouse,1974,Gas,Central,1 space,"1,742 sqft",$144,"$210,000","30W380 Oakmont Dr, Naperville, IL 60563","1,462", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will rise 0.9% (↑) in the next year.This home is valued 34.7% lower (↓) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/30W380-Oakmont-Dr-Naperville-IL-60563/4501581_zpid/,$240/month,For Sale
302,Single Family,1953,Forced air,Central,4 spaces,0.64 acres,$288,"$474,900","5S536 Columbia St, Naperville, IL 60563","1,650", No, 3, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ogden Highlands will increase 0.9% (↑) in the next year.This home is valued 47.8% higher (↑) than the median home in Ogden Highlands.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S536-Columbia-St-Naperville-IL-60563/4527169_zpid/,None,For Sale
303,Single Family,1959,Forced air,Central,2 spaces,"9,848 sqft",$305,"$825,000","730 E Hillside Rd, Naperville, IL 60540","2,702", No, 4, 3, 3,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 99.6% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/730-E-Hillside-Rd-Naperville-IL-60540/4537981_zpid/,None,For Sale
304,Single Family,1975,Gas,Central,2 spaces,"10,362 sqft",$176,"$459,900","1118 Cheshire Ave, Naperville, IL 60540","2,616", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Pembroke Greens will increase 1.3% (↑) in the next year.This home is valued 11.3% higher (↑) than the median home in Pembroke Greens.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1118-Cheshire-Ave-Naperville-IL-60540/4538695_zpid/,None,For Sale
305,Townhouse,2004,Gas,Central,2 spaces,"4,791 sqft",$212,"$524,900","1731 Elyse Ln, Naperville, IL 60565","2,474", No, 3, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 32.4% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1731-Elyse-Ln-Naperville-IL-60565/67411878_zpid/,,For Sale
306,Single Family,1974,Forced air,Central,3 spaces,0.28 acres,$287,"$860,000","1117 Briergate Dr, Naperville, IL 60563","3,000", No, 4, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will increase 0.9% (↑) in the next year.This home is valued 167.6% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1117-Briergate-Dr-Naperville-IL-60563/4503896_zpid/,None,For Sale
307,Single Family,1997,Forced air,Central,3 spaces,"8,712 sqft",$149,"$435,000","2039 Sudbury St, Naperville, IL 60564","2,922", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Summerfield will increase 0.7% (↑) in the next year.This home is valued 0.9% higher (↑) than the median home in Summerfield.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2039-Sudbury-St-Naperville-IL-60564/4523418_zpid/,,For Sale
308,Single Family,1996,Forced air,Central,3 spaces,0.3 acres,$192,"$499,000","5012 Prairie Sage Ln, Naperville, IL 60564","2,600", No, 5, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in High Meadows will increase 0.7% (↑) in the next year.This home is valued 15.7% higher (↑) than the median home in High Meadows.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/5012-Prairie-Sage-Ln-Naperville-IL-60564/5374652_zpid/,$16/month,For Sale
309,Single Family,1993,Gas,Central,Attached Garage,"10,018 sqft",,"$363,166","5S765 Timberlane Dr, Naperville, IL 60563","2,112", No, 4, 2,,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will rise 0.9% (↑) in the next year.This home is valued 13% higher (↑) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S765-Timberlane-Dr-Naperville-IL-60563/4501843_zpid/,,For Sale
310,Single Family,1991,Forced air,Central,3 spaces,"10,001 sqft",$185,"$597,000","1740 Atwood Cir, Naperville, IL 60565","3,228", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 50.6% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1740-Atwood-Cir-Naperville-IL-60565/4554556_zpid/,None,For Sale
311,Single Family,2006,"Forced air, Gas",Central,3 spaces,0.25 Acres,$208,"$1,940,000","330 Douglas Ave, Naperville, IL 60540","9,326", No, 6, 8, 6, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 369.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/330-Douglas-Ave-Naperville-IL-60540/4506688_zpid/,,For Sale
312,Single Family,1938,Forced air,Central,3 spaces,"7,405 sqft",$359,"$1,185,000","209 N West St, Naperville, IL 60540","3,300", Yes, 4, 5, 5,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 186.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/209-N-West-St-Naperville-IL-60540/4506077_zpid/,,For Sale
313,Single Family,2000,Forced air,Central,4 spaces,0.32 acres,$188,"$829,900","2648 Charlestowne Ln, Naperville, IL 60564","4,416", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Stillwater will rise 0.7% (↑) in the next year.This home is valued 92.4% higher (↑) than the median home in Stillwater.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2648-Charlestowne-Ln-Naperville-IL-60564/51400312_zpid/,$83/month,For Sale
314,Single Family,2000,Forced air,Central,3 spaces,0.39 acres,$108,"$685,000","3016 Goldenglow Ct, Naperville, IL 60564","6,368", No, 7, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tall Grass will increase 0.7% (↑) in the next year.This home is valued 58.8% higher (↑) than the median home in Tall Grass.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3016-Goldenglow-Ct-Naperville-IL-60564/51400939_zpid/,$52/month,For Sale
315,Townhouse,2002,Forced air,Central,2 spaces,"6,098 sqft",$179,"$329,900","836 Shandrew Dr, Naperville, IL 60540","1,842", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 20.2% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/836-Shandrew-Dr-Naperville-IL-60540/61453483_zpid/,$287/month,For Sale
316,Single Family,1918,Gas,No Data,Detached Garage,"9,504 sqft",,"$405,824","26 N Sleight St, Naperville, IL 60540","1,842", No, 3, 2, 1, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will increase 1.3% (↑) in the next year.This home is valued 1.8% lower (↓) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/26-N-Sleight-St-Naperville-IL-60540/4536941_zpid/,,For Sale
317,Single Family,1974,Forced air,Central,2 spaces,0.29 acres,$249,"$605,000","808 Heatherton Dr, Naperville, IL 60563","2,432", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 88.2% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/808-Heatherton-Dr-Naperville-IL-60563/4503825_zpid/,None,For Sale
318,Single Family,1949,Forced air,Central,2 spaces,"8,581 sqft",$231,"$648,000","324 S Wright St, Naperville, IL 60540","2,800", No, 5, 3, 3,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Highlands will rise 1.3% (↑) in the next year.This home is valued 56.8% higher (↑) than the median home in Naperville Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/324-S-Wright-St-Naperville-IL-60540/4537096_zpid/,,For Sale
319,Single Family,1977,"Forced air, Gas",Central,2 spaces,"3,920 sqft",$206,"$289,000","5S761 Malibu Ln, Naperville, IL 60540","1,400", No, 3, 2, 1, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Steeple Run will rise 1.3% (↑) in the next year.This home is valued 30.1% lower (↓) than the median home in Steeple Run.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/5S761-Malibu-Ln-Naperville-IL-60540/4528404_zpid/,,For Sale
320,Condo,1988,Forced air,Central,1 space,,$145,"$205,000","1290 Tennyson Ln #202, Naperville, IL 60540","1,417", No, 2, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Fields will increase 1.3% (↑) in the next year.This home is valued 50.4% lower (↓) than the median home in The Fields.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1290-Tennyson-Ln-202-Naperville-IL-60540/4515486_zpid/,$278/month,For Sale
321,Single Family,1984,Forced air,Central,2 spaces,0.5 acres,$194,"$639,500","8S031 Creek Dr, Naperville, IL 60540","3,291", No, 4, 4, 2, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 54.7% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/8S031-Creek-Dr-Naperville-IL-60540/4546695_zpid/,,For Sale
322,Single Family,2005,Forced air,Central,3 spaces,No Data,$154,"$699,000","2956 Willow Ridge Dr, Naperville, IL 60564","4,533", No, 4, 4, 4,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashbury will rise 0.7% (↑) in the next year.This home is valued 62.1% higher (↑) than the median home in Ashbury.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2956-Willow-Ridge-Dr-Naperville-IL-60564/63204815_zpid/,$50/month,For Sale
323,Single Family,2009,"Forced air, Gas",Central,3 spaces,"9,221 sqft",$230,"$1,075,000","720 N Brainard St, Naperville, IL 60563","4,668", No, 6, 6, 5, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 234.5% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/720-N-Brainard-St-Naperville-IL-60563/4536380_zpid/,,For Sale
324,Townhouse,2005,Forced air,Central,2 spaces,"8,712 sqft",$164,"$349,900","930 Case St, Naperville, IL 60563","2,130", No, 3, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ogden Highlands will rise 0.9% (↑) in the next year.This home is valued 8.9% higher (↑) than the median home in Ogden Highlands.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/930-Case-St-Naperville-IL-60563/69070275_zpid/,$241/month,For Sale
325,Single Family,1978,"Forced air, Gas",Central,2 spaces,0.26 Acres,$205,"$460,000","1027 Williamsburg Dr, Naperville, IL 60540","2,240", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Hobson West will increase 1.3% (↑) in the next year.This home is valued 11.3% higher (↑) than the median home in Hobson West.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1027-Williamsburg-Dr-Naperville-IL-60540/4513589_zpid/,,For Sale
326,Condo,1985,Radiant,Central,2 spaces,,$246,"$208,000","511 Aurora Ave UNIT 313, Naperville, IL 60540",845, No, 1, 1, 1,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 49.7% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/511-Aurora-Ave-UNIT-313-Naperville-IL-60540/4512826_zpid/,$463/month,For Sale
327,Single Family,2003,"Forced air, Radiant",Central,4 spaces,2.48 acres,$216,"$1,900,000","8S223 Derby Dr, Naperville, IL 60540","8,782", No, 5, 7, 6, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 359.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/8S223-Derby-Dr-Naperville-IL-60540/64769928_zpid/,None,For Sale
328,Single Family,2020,"Forced air, Gas",Central,2 spaces,"8,712 sqft",$352,"$1,295,000","361 S Columbia St, Naperville, IL 60540","3,678", Yes, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Highlands will increase 1.3% (↑) in the next year.This home is valued 213.4% higher (↑) than the median home in Naperville Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/361-S-Columbia-St-Naperville-IL-60540/2079094149_zpid/,,For Sale
329,Townhouse,2020,No Data,No Data,2 spaces,No Data,$200,"$372,490","4403 Monroe Ct, Naperville, IL 60564",, Yes, 2, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 13.6% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4403-Monroe-Ct-Naperville-IL-60564/2079132223_zpid/,,For Sale
330,Single Family,2012,"Forced air, Gas",Central,3 spaces,"10,454 sqft",$181,"$775,000","3107 Landore Dr, Naperville, IL 60564","4,277", No, 4, 5, 5,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashbury will rise 0.7% (↑) in the next year.This home is valued 79.7% higher (↑) than the median home in Ashbury.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3107-Landore-Dr-Naperville-IL-60564/63063934_zpid/,,For Sale
331,Single Family,2002,"Forced air, Gas",Central,3 spaces,0.26 Acres,$259,"$999,000","1221 Millet St, Naperville, IL 60563","3,852", No, 4, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Saybrook will increase 0.9% (↑) in the next year.This home is valued 210.8% higher (↑) than the median home in Saybrook.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1221-Millet-St-Naperville-IL-60563/4526940_zpid/,,For Sale
332,Single Family,2007,"Forced air, Gas",Central,3 spaces,0.50 Acres,$165,"$1,485,000","2303 Hazel Ct, Naperville, IL 60565","9,025", No, 5, 7, 5, 2,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 274.7% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2303-Hazel-Ct-Naperville-IL-60565/51402511_zpid/,,For Sale
333,Single Family,2020,Forced air,Central,2 spaces,"6,969 sqft",$179,"$601,000","3931 Gold Cup Ln, Naperville, IL 60564","3,359", Yes, 5, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 39.4% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3931-Gold-Cup-Ln-Naperville-IL-60564/2079213050_zpid/,$56/month,For Sale
334,Single Family,1976,Forced air,Central,No Data,"10,018 sqft",,"$332,223","340 Waxwing Ave, Naperville, IL 60565","1,157", No, 3, 2,,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Bay Colony will increase 1.2% (↑) in the next year.This home is valued 16.2% lower (↓) than the median home in Bay Colony.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/340-Waxwing-Ave-Naperville-IL-60565/4549643_zpid/,,For Sale
335,Multiple Occupancy,1890,"Forced air, Gas",Central,4 spaces,,$237,"$425,000","154 Center St, Naperville, IL 60540","1,796", No, 4, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will rise 1.3% (↑) in the next year.This home is valued 2.8% higher (↑) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/154-Center-St-Naperville-IL-60540/4536477_zpid/,,For Sale
336,Single Family,2020,Gas,Central,2 spaces,10.01 Acres,$196,"$466,990","2607 Accolade Ave, Naperville, IL 60564","2,386", Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 8.3% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2607-Accolade-Ave-Naperville-IL-60564/2079257619_zpid/,,For Sale
337,Townhouse,2012,Gas,Central,2 spaces,"1,624 sqft",$183,"$284,900","2549 Dunraven Ave, Naperville, IL 60540","1,555", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 31.1% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/2549-Dunraven-Ave-Naperville-IL-60540/111935123_zpid/,$244/month,For Sale
338,Single Family,1987,"Forced air, Gas",Central,2 spaces,0.26 Acres,$180,"$335,000","2816 Rolling Meadows Dr, Naperville, IL 60564","1,861", No, 4, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 22.3% lower (↓) than the median home in Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2816-Rolling-Meadows-Dr-Naperville-IL-60564/5366764_zpid/,,For Sale
339,Condo,1972,Baseboard,No Data,1 space,,$128,"$97,000","244 E Bailey Rd APT K, Naperville, IL 60565",756, No, 1, 1, 1,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 75.5% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/244-E-Bailey-Rd-APT-K-Naperville-IL-60565/171849182_zpid/,$272/month,For Sale
340,Townhouse,1990,Forced air,Central,2 spaces,"3,484 sqft",$210,"$342,000","1129 Tennyson Ln, Naperville, IL 60540","1,629", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in The Fields will rise 1.3% (↑) in the next year.This home is valued 17.2% lower (↓) than the median home in The Fields.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1129-Tennyson-Ln-Naperville-IL-60540/4515281_zpid/,$275/month,For Sale
341,Single Family,2002,Forced air,Central,3 spaces,0.33 acres,$204,"$799,900","3179 Kingbird Ln, Naperville, IL 60564","3,919", No, 4, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tall Grass will rise 0.7% (↑) in the next year.This home is valued 85.5% higher (↑) than the median home in Tall Grass.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3179-Kingbird-Ln-Naperville-IL-60564/59687678_zpid/,$59/month,For Sale
342,Single Family,1999,"Forced air, Gas",Central,3 spaces,"9,583 sqft",$149,"$519,900","3819 Grassmere Rd, Naperville, IL 60564","3,483", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tall Grass will increase 0.7% (↑) in the next year.This home is valued 20.5% higher (↑) than the median home in Tall Grass.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3819-Grassmere-Rd-Naperville-IL-60564/51400950_zpid/,,For Sale
343,Single Family,1984,Gas,Central,2 spaces,"8,276 sqft",$284,"$305,000","1921 Stanford Dr, Naperville, IL 60565","1,074", No, 3, 2, 2,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in University Heights will increase 1.2% (↑) in the next year.This home is valued 23% lower (↓) than the median home in University Heights.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1921-Stanford-Dr-Naperville-IL-60565/4554683_zpid/,,For Sale
344,Single Family,1952,"Forced air, Gas",Central,2 spaces,"6,621 sqft",$301,"$259,900","127 W 14th Ave, Naperville, IL 60563",864, No, 2, 1, 1,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Heights will increase 0.9% (↑) in the next year.This home is valued 19.1% lower (↓) than the median home in Naperville Heights.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/127-W-14th-Ave-Naperville-IL-60563/4504851_zpid/,,For Sale
