,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
612,Condo,2006,Forced air,Central,1 space,No Data,"$445,000","700 N Larrabee St APT 1012, Chicago, IL 60654", No, 2, 2, 2,"Home values in River North have risen 0.6% () over the past 12 months.Zillow predicts the home values in River North will fall 0.3% () in the next year.This home is valued 4.7% higher () than the median home in River North.The median Zestimate for this neighborhood is $425,048.",https://www.zillow.com/homedetails/700-N-Larrabee-St-APT-1012-Chicago-IL-60654/87700650_zpid/,,,$678/month,,For Sale
613,Single Family,,Forced air,Other,2 spaces,$2,"$1,900","3633 W 107th St, Chicago, IL 60655", No, 3, 2,,"Home values in Mount Greenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Mount Greenwood will rise 1.5% () in the next year.This home is valued 99.2% lower () than the median home in Mount Greenwood.The median Zestimate for this neighborhood is $242,860.",https://www.zillow.com/homedetails/3633-W-107th-St-Chicago-IL-60655/4082544_zpid/,,,,,For Sale
614,Condo,2007,"Forced air, Gas",Central,1 space,,"$412,900","901 W Madison St UNIT 411, Chicago, IL 60607", No, 2, 2, 2,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% () in the next year.This home is valued 1.9% lower () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/901-W-Madison-St-UNIT-411-Chicago-IL-60607/89971876_zpid/,,,$509/mo,,For Sale
615,Condo,1910,Forced air,Central,1 space,$118,"$142,000","1552 E 65th Pl #3, Chicago, IL 60637", No, 2, 1, 1,"Home values in Woodlawn have risen 0.6% () over the past 12 months.Zillow predicts the home values in Woodlawn will fall 1.4% () in the next year.This home is valued 20.5% lower () than the median home in Woodlawn.The median Zestimate for this neighborhood is $178,718.",https://www.zillow.com/homedetails/1552-E-65th-Pl-3-Chicago-IL-60637/70478075_zpid/,,"1,200",$315/month,,For Sale
616,Condo,1906,Forced air,Central,1 space,$249,"$229,000","6 E Monroe St APT 804, Chicago, IL 60603", No, 1, 1, 1,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 38% lower () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/6-E-Monroe-St-APT-804-Chicago-IL-60603/62012858_zpid/,,920,$636/month,,For Sale
617,Single Family,2001,Forced air,Central,2 spaces,$188,"$409,000","6729 W 64th Pl, Chicago, IL 60638", No, 4, 3, 3,"Home values in Clearing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Clearing will increase 3.9% () in the next year.This home is valued 77.4% higher () than the median home in Clearing.The median Zestimate for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6729-W-64th-Pl-Chicago-IL-60638/61961779_zpid/,"4,007 sqft","2,176",,,For Sale
618,Single Family,2007,Forced air,Central,2 spaces,$113,"$130,000","1815 S Ridgeway Ave, Chicago, IL 60623", No, 3, 2, 1,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will increase 2.9% () in the next year.This home is valued 10.3% lower () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1815-S-Ridgeway-Ave-Chicago-IL-60623/80855367_zpid/,"3,001 sqft","1,154",None, 1,For Sale
619,Multi Family,1892,Forced air,No Data,2 spaces,No Data,"$539,000","4332 S Langley Ave, Chicago, IL 60653", No, 9, 3, 3,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will rise 2.7% () in the next year.This home is valued 103.3% higher () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4332-S-Langley-Ave-Chicago-IL-60653/2090011831_zpid/,,,,,For Sale
620,Single Family,1920,Forced air,Central,6 spaces,$345,"$379,000","4815 W Addison St, Chicago, IL 60641", No, 4, 3, 2,"Home values in Portage Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Portage Park will fall 2% () in the next year.This home is valued 30.7% higher () than the median home in Portage Park.The median Zestimate for this neighborhood is $289,874.",https://www.zillow.com/homedetails/4815-W-Addison-St-Chicago-IL-60641/3664395_zpid/,"4,687 sqft","1,097",None, 1,For Sale
621,Multi Family,1888,Forced air,No Data,2 spaces,$182,"$299,900","1262 S Fairfield Ave, Chicago, IL 60608", No, 11, 3, 3,"Home values in 60608 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Douglas Park will fall 2.1% () in the next year.This home is valued 6.7% higher () than the median home in Douglas Park.The median Zestimate for this neighborhood is $281,000.",https://www.zillow.com/homedetails/1262-S-Fairfield-Ave-Chicago-IL-60608/2140002498_zpid/,,"1,650",,,For Sale
622,Condo,1926,Baseboard,Central,1 space,$281,"$425,000","680 N Lake Shore Dr APT 911, Chicago, IL 60611", No, 2, 2, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will decrease 1.2% () in the next year.This home is valued 8.4% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/680-N-Lake-Shore-Dr-APT-911-Chicago-IL-60611/3866289_zpid/,,"1,510",$955/mo, 1,For Sale
623,Condo,2004,Forced air,Central,1 space,$208,"$269,999","1912 W Touhy Ave APT 2E, Chicago, IL 60626", No, 2, 2,,"Home values in Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% () in the next year.This home is valued 19.4% higher () than the median home in Rogers Park.The median Zestimate for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1912-W-Touhy-Ave-APT-2E-Chicago-IL-60626/70456273_zpid/,,"1,300",$190/month,,For Sale
624,Single Family,2020,Forced air,Central,1 space,$738,"$1,660,000","Buildable plan: Plan C, Parkline Chicago, Chicago, IL 60601", Yes, 3, 4, 3,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 349.7% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/community/parkline-chicago/2078738228_zpid/,No Data,,, 1,For Sale
625,Condo,1963,"Electric, Gas",No Data,Attached Garage,No Data,"$289,900","1355 N Sandburg Ter APT 1608D, Chicago, IL 60610", No, 1, 1, 1,"Home values in Old Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in Old Town will decrease 0.2% () in the next year.This home is valued 27.2% lower () than the median home in Old Town.The median Zestimate for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1355-N-Sandburg-Ter-APT-1608D-Chicago-IL-60610/2077673274_zpid/,,,$784/month,,For Sale
626,Multiple Occupancy,2020,"Forced air, Gas",No Data,3 spaces,,"$550,000","5722 W Race Ave, Chicago, IL 60644", Yes, 8, 6, 6,"Home values in South Austin have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Austin will rise 3.4% () in the next year.This home is valued 224.5% higher () than the median home in South Austin.The median Zestimate for this neighborhood is $169,507.",https://www.zillow.com/homedetails/5722-W-Race-Ave-Chicago-IL-60644/101500999_zpid/,,,,,For Sale
627,Single Family,1923,Forced air,Central,2 spaces,$347,"$339,900","5712 W Grover St, Chicago, IL 60630", No, 6, 3, 2,"Home values in Jefferson Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% () in the next year.This home is valued 12.1% higher () than the median home in Jefferson Park.The median Zestimate for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5712-W-Grover-St-Chicago-IL-60630/3635590_zpid/,"3,123 sqft",979,None, 1,For Sale
628,Condo,1899,"Other, Gas",Central,No Data,$370,"$349,999","3530 N Reta Ave #G, Chicago, IL 60657", No, 2, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 35.3% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3530-N-Reta-Ave-G-Chicago-IL-60657/80843937_zpid/,,947,$156/mo,,For Sale
629,Condo,No Data,Forced air,Central,1 space,$154,"$185,000","5124 S Indiana Ave APT 3S, Chicago, IL 60615", No, 3, 2, 1,"Home values in Washington Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Washington Park will rise 8.2% () in the next year.This home is valued 42.5% higher () than the median home in Washington Park.The median Zestimate for this neighborhood is $129,846.",https://www.zillow.com/homedetails/5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615/2078966245_zpid/,,"1,200",$167/month, 1,For Sale
630,Single Family,1956,Forced air,Central,2 spaces,$244,"$250,000","7925 S Albany Ave, Chicago, IL 60652", No, 3, 2, 2,"Home values in Wrightwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Wrightwood will rise 4.8% () in the next year.This home is valued 31.2% higher () than the median home in Wrightwood.The median Zestimate for this neighborhood is $190,501.",https://www.zillow.com/homedetails/7925-S-Albany-Ave-Chicago-IL-60652/3977056_zpid/,"3,781 sqft","1,023",,,For Sale
631,Condo,2003,Forced air,Central,1 space,No Data,"$229,900","(Undisclosed Address), Chicago, IL 60707", No, 2, 2, 2,"Home values in Montclare have risen 0.6% () over the past 12 months.Zillow predicts the home values in Montclare will decrease 2.1% () in the next year.This home is valued 10.5% lower () than the median home in Montclare.The median Zestimate for this neighborhood is $256,941.",https://www.zillow.com/homedetails/Chicago-IL-60707/2077673972_zpid/,,,$175/month,,For Sale
632,Single Family,1928,No Data,No Data,2 spaces,$234,"$449,000","7323 W Lunt Ave, Chicago, IL 60631", No, 3, 2, 1,"Home values in Edison Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edison Park will fall 2.4% () in the next year.This home is valued 26% higher () than the median home in Edison Park.The median Zestimate for this neighborhood is $356,353.",https://www.zillow.com/homedetails/7323-W-Lunt-Ave-Chicago-IL-60631/3511227_zpid/,"4,720 sqft","1,920",, 1,For Sale
633,Single Family,1928,No Data,No Data,2 spaces,$234,"$449,000","7323 W Lunt Ave, Chicago, IL 60631", No, 3, 2, 1,"Home values in Edison Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edison Park will decrease 2.4% () in the next year.This home is valued 26% higher () than the median home in Edison Park.The median Zestimate for this neighborhood is $356,353.",https://www.zillow.com/homedetails/7323-W-Lunt-Ave-Chicago-IL-60631/3511227_zpid/,"4,720 sqft","1,920",, 1,For Sale
634,Condo,1983,Forced air,Other,1 space,$252,"$280,000","801 S Plymouth Ct APT 1110, Chicago, IL 60605", No, 2, 2, 2,"Home values in 60605 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dearborn Park will increase 1.6% () in the next year.This home is valued 27.4% lower () than the median home in Dearborn Park.The median Zestimate for this neighborhood is $385,652.",https://www.zillow.com/homedetails/801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605/3872916_zpid/,,"1,110",$685/month,,For Sale
635,Condo,1973,"Forced air, Electric",Central,1 space,$271,"$325,000","655 W Irving Park Rd APT 2510, Chicago, IL 60613", No, 2, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 39.9% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613/65560223_zpid/,,"1,200","$1,124/mo",,For Sale
636,Condo,2006,Forced air,Central,1 space,No Data,"$465,000","2951 N Halsted St APT 2, Chicago, IL 60657", No, 2, 2, 2,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will decrease 0.6% () in the next year.This home is valued 47.4% higher () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2951-N-Halsted-St-APT-2-Chicago-IL-60657/87714466_zpid/,,,$116/month,,For Sale
637,Condo,1932,No Data,No Data,1 space,$300,"$750,000","2920 N Commonwealth Ave APT 3B, Chicago, IL 60657", No, 4, 3, 3,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 137.7% higher () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657/3722648_zpid/,,"2,500","$1,312/mo",,For Sale
638,Single Family,1928,"Forced air, Gas",Central,2 spaces,$262,"$453,000","3318 N Kilbourn Ave, Chicago, IL 60641", No, 8, 3, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 12.8% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3318-N-Kilbourn-Ave-Chicago-IL-60641/3665973_zpid/,"4,704 sqft","1,728",,,For Sale
639,Multiple Occupancy,1925,"Forced air, Gas",No Data,2 spaces,$390,"$429,000","5053 W Deming Pl, Chicago, IL 60639", No, 6, 3, 3,"Home values in Cragin have risen 0.6% () over the past 12 months.Zillow predicts the home values in Cragin will decrease 1.8% () in the next year.This home is valued 64.5% higher () than the median home in Cragin.The median Zestimate for this neighborhood is $260,825.",https://www.zillow.com/homedetails/5053-W-Deming-Pl-Chicago-IL-60639/2133795989_zpid/,,"1,100",,,For Sale
640,Multi Family,1915,Forced air,No Data,2 spaces,No Data,"$599,900","3711 N Central Park Ave, Chicago, IL 60618", No, 5, 3, 3,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 49.4% higher () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3711-N-Central-Park-Ave-Chicago-IL-60618/2117599353_zpid/,,,,,For Sale
641,Condo,2003,Forced air,Central,1 space,No Data,"$538,900","1617 W Barry Ave APT 1W, Chicago, IL 60657", No, 3, 3, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 0.3% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1617-W-Barry-Ave-APT-1W-Chicago-IL-60657/65561830_zpid/,,,$245/month, 1,For Sale
642,Multi Family,1927,No Data,No Data,2 spaces,No Data,"$275,000","5738 S Archer Ave S, Chicago, IL 60638", No, 6, 4, 3,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% () in the next year.This home is valued 14% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5738-S-Archer-Ave-S-Chicago-IL-60638/2077674705_zpid/,,,, 1,For Sale
643,Single Family,1921,"Other, Gas",Central,2 spaces,$246,"$399,000","9738 S Damen Ave, Chicago, IL 60643", No, 3, 2, 2,"Home values in Beverly have risen 0.6% () over the past 12 months.Zillow predicts the home values in Beverly will rise 0.8% () in the next year.This home is valued 15.2% higher () than the median home in Beverly.The median Zestimate for this neighborhood is $346,385.",https://www.zillow.com/homedetails/9738-S-Damen-Ave-Chicago-IL-60643/4125471_zpid/,"4,961 sqft","1,622",,,For Sale
644,Single Family,1925,"Baseboard, Gas",No Data,2 spaces,$177,"$365,000","4311 N Bernard St, Chicago, IL 60618", No, 2, 1, 1,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will decrease 1.1% () in the next year.This home is valued 9.1% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/4311-N-Bernard-St-Chicago-IL-60618/3645515_zpid/,"3,123 sqft","2,065",,,For Sale
645,Condo,1920,"Forced air, Gas",Central,1 space,$286,"$315,000","1601 W School St APT 213, Chicago, IL 60657", No, 1, 1, 1,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 41.7% lower () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1601-W-School-St-APT-213-Chicago-IL-60657/3710577_zpid/,,"1,100",$418/mo,,For Sale
646,Condo,1998,"Forced air, Gas",Central,1 space,$269,"$349,900","1623 W Grand Ave APT 3E, Chicago, IL 60622", No, 2, 2, 2,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% () in the next year.This home is valued 31.1% lower () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/1623-W-Grand-Ave-APT-3E-Chicago-IL-60622/54537434_zpid/,,"1,300",$289/mo,,For Sale
647,Condo,1958,Gas,No Data,1 space,$233,"$139,500","253 E Delaware Pl APT 19D, Chicago, IL 60611", No, 0, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% () in the next year.This home is valued 69.9% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/253-E-Delaware-Pl-APT-19D-Chicago-IL-60611/3851136_zpid/,,600,$428/mo,,For Sale
648,Condo,No Data,Forced air,Central,1 space,$273,"$519,000","1807 N Orleans St APT GS, Chicago, IL 60614", No, 3, 3, 2,"Home values in Sheffield Neighbors have risen 0.6% () over the past 12 months.Zillow predicts the home values in Sheffield Neighbors will decrease 0.6% () in the next year.This home is valued 49.6% lower () than the median home in Sheffield Neighbors.The median Zestimate for this neighborhood is $1,029,586.",https://www.zillow.com/homedetails/1807-N-Orleans-St-APT-GS-Chicago-IL-60614/2085039956_zpid/,,"1,900",$288/month, 1,For Sale
649,Condo,1972,Electric,No Data,1 space,No Data,"$130,000","2320 N Nordica Ave APT 403, Chicago, IL 60707", No, 1, 1, 1,"Home values in Galewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Galewood will increase 0.7% () in the next year.This home is valued 51.9% lower () than the median home in Galewood.The median Zestimate for this neighborhood is $270,111.",https://www.zillow.com/homedetails/2320-N-Nordica-Ave-APT-403-Chicago-IL-60707/3680349_zpid/,,,$231/month,,For Sale
650,Condo,2009,Gas,Central,1 space,$359,"$299,000","1800 W Grace St #302, Chicago, IL 60613", No, 1, 1, 1,"Home values in North Center have risen 0.6% () over the past 12 months.Zillow predicts the home values in North Center will increase 1.3% () in the next year.This home is valued 60.9% lower () than the median home in North Center.The median Zestimate for this neighborhood is $765,003.",https://www.zillow.com/homedetails/1800-W-Grace-St-302-Chicago-IL-60613/2137208699_zpid/,,832,$384/mo,,For Sale
651,Condo,2009,Electric,Central,1 space,No Data,"$289,900","565 W Quincy St UNIT 801, Chicago, IL 60661", No, 1, 1, 1,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will fall 0.5% () in the next year.This home is valued 14.4% lower () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/565-W-Quincy-St-UNIT-801-Chicago-IL-60661/306334092_zpid/,,,$407/month,,For Sale
652,Multiple Occupancy,1906,Gas,Central,2 spaces,,"$3,000,000","2528 N California Ave, Chicago, IL 60647", No, 4, 5, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 643.2% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2528-N-California-Ave-Chicago-IL-60647/2077676629_zpid/,,,, 3,For Sale
653,Condo,1949,Forced air,Central,1 space,$368,"$700,000","130 S Canal St APT 9Q, Chicago, IL 60606", No, 3, 3, 2,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will fall 0.5% () in the next year.This home is valued 106.6% higher () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/130-S-Canal-St-APT-9Q-Chicago-IL-60606/58368894_zpid/,,"1,900","$1,153/month", 1,For Sale
654,Condo,1903,Forced air,Central,1 space,$268,"$375,000","4521 N Ashland Ave APT 3N, Chicago, IL 60640", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will increase 2% () in the next year.This home is valued 23.6% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640/61959682_zpid/,,"1,400",No Data,,For Sale
655,Condo,1906,Other,Refrigeration,2 spaces,$187,"$449,000","668 W Irving Park Rd APT H4, Chicago, IL 60613", No, 4, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 48% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/668-W-Irving-Park-Rd-APT-H4-Chicago-IL-60613/3705074_zpid/,,"2,400",$658/month,,For Sale
656,Condo,1968,No Data,No Data,No Data,$295,"$155,000","2626 N Lakeview Ave APT 2110, Chicago, IL 60614", No, 0, 1, 1,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 72% lower () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614/3725735_zpid/,,525,$229/mo,,For Sale
657,Condo,2002,Forced air,Central,1 space,$232,"$277,800","3113 W Lawrence Ave APT A201, Chicago, IL 60625", No, 2, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 11.7% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625/2077676671_zpid/,,"1,200",$279/month,,For Sale
658,Townhouse,1960,"Forced air, Gas",Central,1 space,$286,"$285,000","3950 W Glenlake Ave UNIT C, Chicago, IL 60659", No, 3, 2, 1,"Home values in Pulaski Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Pulaski Park will rise 2.9% () in the next year.This home is valued 23.9% lower () than the median home in Pulaski Park.The median Zestimate for this neighborhood is $374,289.",https://www.zillow.com/homedetails/3950-W-Glenlake-Ave-UNIT-C-Chicago-IL-60659/3620008_zpid/,"1,695 sqft",998,, 1,For Sale
659,Condo,1911,"Forced air, Gas",Central,1 space,$259,"$284,999","330 S Michigan Ave APT 1910, Chicago, IL 60604", No, 2, 2, 2,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 22.8% lower () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-1910-Chicago-IL-60604/60269731_zpid/,,"1,100",$512/mo,,For Sale
660,Single Family,1910,Forced air,No Data,2 spaces,$46,"$55,000","6811 S Wolcott Ave, Chicago, IL 60636", No, 3, 1, 1,"Home values in West Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Englewood will fall 4.3% () in the next year.This home is valued 11.9% lower () than the median home in West Englewood.The median Zestimate for this neighborhood is $62,424.",https://www.zillow.com/homedetails/6811-S-Wolcott-Ave-Chicago-IL-60636/3996655_zpid/,"3,101 sqft","1,206",,,For Sale
661,Condo,1998,"Forced air, Gas",Central,1 space,$293,"$285,000","1529 S State St #19H, Chicago, IL 60605", No, 1, 2, 1,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 24.4% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1529-S-State-St-19H-Chicago-IL-60605/2145973504_zpid/,,972,$600/mo, 1,For Sale
662,Townhouse,2006,Gas,Central,None,$175,"$350,000","4160 S Drexel Blvd, Chicago, IL 60653", No, 2, 3, 2,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will increase 2.7% () in the next year.This home is valued 32% higher () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4160-S-Drexel-Blvd-Chicago-IL-60653/2077677082_zpid/,No Data,"2,000",$74/month, 1,For Sale
663,Multi Family,1912,Gas,No Data,None,No Data,"$95,000","7736 S Maryland Ave, Chicago, IL 60619", No, 5, 2, 2,"Home values in Grand Crossing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Grand Crossing will decrease 16.8% () in the next year.This home is valued 0.8% lower () than the median home in Grand Crossing.The median Zestimate for this neighborhood is $95,799.",https://www.zillow.com/homedetails/7736-S-Maryland-Ave-Chicago-IL-60619/2137117040_zpid/,,,,,For Sale
664,Condo,2013,Forced air,Central,2 spaces,$351,"$649,900","1238 W Argyle St APT 2, Chicago, IL 60640", No, 3, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 114.2% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1238-W-Argyle-St-APT-2-Chicago-IL-60640/2077677081_zpid/,,"1,850",$237/month,,For Sale
665,Condo,2008,Forced air,Central,1 space,$467,"$764,900","1201 S Prairie Ave #1905, Chicago, IL 60605", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 102.9% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1201-S-Prairie-Ave-1905-Chicago-IL-60605/2143994890_zpid/,,"1,639",$737/month,,For Sale
666,Single Family,2020,"Forced air, Gas",Central,2 spaces,$169,"$439,900","533 W 46th Pl, Chicago, IL 60609", Yes, 5, 3, 3,"Home values in Canaryville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Canaryville will increase 1.6% () in the next year.This home is valued 72.7% higher () than the median home in Canaryville.The median Zestimate for this neighborhood is $254,665.",https://www.zillow.com/homedetails/533-W-46th-Pl-Chicago-IL-60609/159007991_zpid/,"3,049 sqft","2,600",,,For Sale
667,Single Family,2016,"Forced air, Gas",Central,2 spaces,$240,"$1,050,000","6082 N Sauganash Ave, Chicago, IL 60646", No, 5, 4, 3,"Home values in Sauganash have risen 0.6% () over the past 12 months.Zillow predicts the home values in Sauganash will increase 1.5% () in the next year.This home is valued 140.4% higher () than the median home in Sauganash.The median Zestimate for this neighborhood is $436,778.",https://www.zillow.com/homedetails/6082-N-Sauganash-Ave-Chicago-IL-60646/2097701527_zpid/,No Data,"4,375",, 1,For Sale
668,Condo,2001,Forced air,Central,None,$219,"$219,000","1426 W Cullom Ave APT 1, Chicago, IL 60613", No, 1, 1, 1,"Home values in Graceland West have risen 0.6% () over the past 12 months.Zillow predicts the home values in Graceland West will increase 1.2% () in the next year.This home is valued 66.4% lower () than the median home in Graceland West.The median Zestimate for this neighborhood is $651,745.",https://www.zillow.com/homedetails/1426-W-Cullom-Ave-APT-1-Chicago-IL-60613/65559234_zpid/,,"1,000",$265/month,,For Sale
669,Condo,2007,"Forced air, Gas",Central,1 space,$350,"$595,000","3548 N Reta Ave APT 3N, Chicago, IL 60657", No, 3, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will decrease 0.3% () in the next year.This home is valued 10.1% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3548-N-Reta-Ave-APT-3N-Chicago-IL-60657/2099052215_zpid/,,"1,700",$155/mo,,For Sale
