,Type,Year built,Heating,Cooling,Parking,HOA,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Half bathrooms,Status
168,Multi Family,1869,Forced air,Central,2 spaces,," $960,000","545 N Wood St, Chicago, IL 60622",, No, 5, 5, 5,"Home values in West Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% (↑) in the next year.This home is valued 89.2% higher (↑) than the median home in West Town.The median Zestimate® for this neighborhood is $507,475.",https://www.zillow.com/homedetails/545-N-Wood-St-Chicago-IL-60622/2087233022_zpid/,,,Sold
169,Single Family,1959,Forced air,Central,2 spaces,," $500,000","5537 S Rutherford Ave, Chicago, IL 60638","3,200", No, 4, 4, 3,"Home values in Garfield Ridge have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% (↑) in the next year.This home is valued 107.2% higher (↑) than the median home in Garfield Ridge.The median Zestimate® for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5537-S-Rutherford-Ave-Chicago-IL-60638/3944776_zpid/,"3,781 sqft", 1,Sold
170,Multi Family,1920,Forced air,"Central, Other",2 spaces,None," $379,000","470 W 28th Pl, Chicago, IL 60616","2,000", No, 4, 2, 2,"Home values in Bridgeport have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% (↓) in the next year.This home is valued 4.6% higher (↑) than the median home in Bridgeport.The median Zestimate® for this neighborhood is $362,289.",https://www.zillow.com/homedetails/470-W-28th-Pl-Chicago-IL-60616/2104518458_zpid/,,,Sold
171,Single Family,1922,Forced air,Central,1 space,None," $100,000","7620 S Clyde Ave, Chicago, IL 60649","2,000", No, 4, 3, 3,"Home values in South Shore have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% (↑) in the next year.This home is valued 7.9% lower (↓) than the median home in South Shore.The median Zestimate® for this neighborhood is $108,577.",https://www.zillow.com/homedetails/7620-S-Clyde-Ave-Chicago-IL-60649/4003002_zpid/,"3,149 sqft",,Sold
172,Single Family,1956,Gas,Central,2 spaces,," $280,000","6223 S Mason Ave, Chicago, IL 60638","1,160", No, 3, 2, 1,"Home values in Clearing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Clearing will increase 3.9% (↑) in the next year.This home is valued 21.5% higher (↑) than the median home in Clearing.The median Zestimate® for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6223-S-Mason-Ave-Chicago-IL-60638/3943723_zpid/,"3,780 sqft", 1,Sold
173,Condo,1919,Forced air,Central,1 space,$367/month," $260,000","1033 W 14th Pl UNIT 316, Chicago, IL 60608",817, No, 2, 1, 1,"Home values in University Village - Little Italy have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in University Village - Little Italy will decrease 0.9% (↓) in the next year.This home is valued 26% lower (↓) than the median home in University Village - Little Italy.The median Zestimate® for this neighborhood is $351,164.",https://www.zillow.com/homedetails/1033-W-14th-Pl-UNIT-316-Chicago-IL-60608/80730242_zpid/,,,Sold
174,Single Family,1957,Forced air,Central,2 spaces,," $265,364","6452 W 63rd Pl, Chicago, IL 60638","1,900", No, 5, 2, 2,"Home values in Clearing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Clearing will rise 3.9% (↑) in the next year.This home is valued 15.1% higher (↑) than the median home in Clearing.The median Zestimate® for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6452-W-63rd-Pl-Chicago-IL-60638/2080033274_zpid/,"2,922 sqft",,Sold
175,Condo,1964,Gas,Central,1 space,$170/month," $102,000","6758 W 64th Pl APT 22, Chicago, IL 60638",800, No, 2, 1, 1,"Home values in Clearing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Clearing will rise 3.9% (↑) in the next year.This home is valued 55.8% lower (↓) than the median home in Clearing.The median Zestimate® for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6758-W-64th-Pl-APT-22-Chicago-IL-60638/3947541_zpid/,,,Sold
176,Multi Family,1894,Other,No Data,None,," $120,000","8446 S Green Bay Ave, Chicago, IL 60617",, No, 6, 2, 2,"Home values in 60617 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in The Bush will rise 4.2% (↑) in the next year.This home is valued 7.2% higher (↑) than the median home in The Bush.The median Zestimate® for this neighborhood is $111,909.",https://www.zillow.com/homedetails/8446-S-Green-Bay-Ave-Chicago-IL-60617/2128896571_zpid/,,,Sold
177,Condo,1909,Forced air,Central,1 space,$284/month," $163,000","1518 E 65th Pl APT 3E, Chicago, IL 60637","1,375", No, 3, 2, 2,"Home values in Woodlawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Woodlawn will fall 1.4% (↓) in the next year.This home is valued 8.8% lower (↓) than the median home in Woodlawn.The median Zestimate® for this neighborhood is $178,718.",https://www.zillow.com/homedetails/1518-E-65th-Pl-APT-3E-Chicago-IL-60637/63706395_zpid/,,,Sold
178,Condo,1964,Gas,Central,1 space,$170/month," $102,000","6758 W 64th Pl APT 22, Chicago, IL 60638",800, No, 2, 1, 1,"Home values in Clearing have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Clearing will rise 3.9% (↑) in the next year.This home is valued 55.8% lower (↓) than the median home in Clearing.The median Zestimate® for this neighborhood is $230,509.",https://www.zillow.com/homedetails/6758-W-64th-Pl-APT-22-Chicago-IL-60638/3947541_zpid/,,,Sold
179,Multi Family,1885,Forced air,No Data,None,," $235,000","6429 S May St, Chicago, IL 60621","3,198", No, 11, 3, 3,"Home values in Englewood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Englewood will rise 9% (↑) in the next year.This home is valued 382.1% higher (↑) than the median home in Englewood.The median Zestimate® for this neighborhood is $48,744.",https://www.zillow.com/homedetails/6429-S-May-St-Chicago-IL-60621/2144203729_zpid/,,,Sold
180,Single Family,1925,Gas,Central,2 spaces,," $316,000","11130 S Saint Louis Ave, Chicago, IL 60655","2,200", No, 5, 3, 3,"Home values in Mount Greenwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Mount Greenwood will rise 1.5% (↑) in the next year.This home is valued 30.1% higher (↑) than the median home in Mount Greenwood.The median Zestimate® for this neighborhood is $242,860.",https://www.zillow.com/homedetails/11130-S-Saint-Louis-Ave-Chicago-IL-60655/4096465_zpid/,"3,811 sqft",,Sold
181,Multi Family,1894,Other,No Data,None,," $120,000","8446 S Green Bay Ave, Chicago, IL 60617",, No, 6, 2, 2,"Home values in 60617 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in The Bush will increase 4.2% (↑) in the next year.This home is valued 7.2% higher (↑) than the median home in The Bush.The median Zestimate® for this neighborhood is $111,909.",https://www.zillow.com/homedetails/8446-S-Green-Bay-Ave-Chicago-IL-60617/2128896571_zpid/,,,Sold
182,Condo,2003,Forced air,Central,1 space,$564/month," $405,000","1200 W Monroe St APT 915, Chicago, IL 60607","1,270", No, 2, 2, 2,"Home values in Near West Side have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% (↑) in the next year.This home is valued 3.7% lower (↓) than the median home in Near West Side.The median Zestimate® for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1200-W-Monroe-St-APT-915-Chicago-IL-60607/70449955_zpid/,,,Sold
183,Condo,1929,Forced air,Central,1 space,$416/month," $335,000","375 W Erie St APT 323, Chicago, IL 60654",875, No, 1, 1, 1,"Home values in River North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in River North will fall 0.3% (↓) in the next year.This home is valued 21.2% lower (↓) than the median home in River North.The median Zestimate® for this neighborhood is $425,048.",https://www.zillow.com/homedetails/375-W-Erie-St-APT-323-Chicago-IL-60654/60268128_zpid/,,,Sold
184,Single Family,2013,Gas,Central,2 spaces,None," $655,000","439 W 38th Pl, Chicago, IL 60609","3,150", No, 4, 4, 3,"Home values in Bridgeport have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% (↓) in the next year.This home is valued 80.8% higher (↑) than the median home in Bridgeport.The median Zestimate® for this neighborhood is $362,289.",https://www.zillow.com/homedetails/439-W-38th-Pl-Chicago-IL-60609/123561471_zpid/,"3,375 sqft", 1,Sold
185,Single Family,1923,Forced air,Central,2 spaces,," $325,000","10424 S Trumbull Ave, Chicago, IL 60655","1,056", No, 5, 2, 2,"Home values in Mount Greenwood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Mount Greenwood will rise 1.5% (↑) in the next year.This home is valued 33.8% higher (↑) than the median home in Mount Greenwood.The median Zestimate® for this neighborhood is $242,860.",https://www.zillow.com/homedetails/10424-S-Trumbull-Ave-Chicago-IL-60655/4081753_zpid/,"6,621 sqft",,Sold
186,Multi Family,1903,Electric,No Data,2 spaces,," $317,000","3100 W Flournoy St, Chicago, IL 60612",, No, 7, 3, 2,"Home values in 60612 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lawndale will increase 1.1% (↑) in the next year.This home is valued 7.9% higher (↑) than the median home in Lawndale.The median Zestimate® for this neighborhood is $293,802.",https://www.zillow.com/homedetails/3100-W-Flournoy-St-Chicago-IL-60612/2078366065_zpid/,, 1,Sold
187,Multi Family,1920,Gas,No Data,None,," $56,000","6452 S Damen Ave, Chicago, IL 60636",798, No, 5, 2, 2,"Home values in West Englewood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Englewood will fall 4.3% (↓) in the next year.This home is valued 10.3% lower (↓) than the median home in West Englewood.The median Zestimate® for this neighborhood is $62,424.",https://www.zillow.com/homedetails/6452-S-Damen-Ave-Chicago-IL-60636/3994774_zpid/,,,Sold
188,Single Family,1905,Forced air,Central,1 space,None," $171,000","3743 W 64th Pl, Chicago, IL 60629","1,200", No, 3, 1, 1,"Home values in West Lawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Lawn will increase 1.5% (↑) in the next year.This home is valued 16.2% lower (↓) than the median home in West Lawn.The median Zestimate® for this neighborhood is $204,144.",https://www.zillow.com/homedetails/3743-W-64th-Pl-Chicago-IL-60629/3952497_zpid/,"3,049 sqft",,Sold
189,Single Family,1961,Forced air,Central,2 spaces,None," $270,000","4351 S Keating Ave, Chicago, IL 60632","1,020", No, 5, 2, 2,"Home values in 60632 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Sleepy Hollow will increase 8.6% (↑) in the next year.This home is valued 37.5% higher (↑) than the median home in Sleepy Hollow.The median Zestimate® for this neighborhood is $196,360.",https://www.zillow.com/homedetails/4351-S-Keating-Ave-Chicago-IL-60632/3915462_zpid/,"3,149 sqft",,Sold
190,Condo,2008,Forced air,Central,2 spaces,$253/month," $580,000","2401 N Janssen Ave APT 308, Chicago, IL 60614",, No, 3, 2, 2,"Home values in West De Paul have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West De Paul will fall 0.9% (↓) in the next year.This home is valued 26% lower (↓) than the median home in West De Paul.The median Zestimate® for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2401-N-Janssen-Ave-APT-308-Chicago-IL-60614/89968802_zpid/,,,Sold
191,Townhouse,1976,"Forced air, Gas",Central,1 space,," $248,000","1801 W Touhy Ave UNIT R, Chicago, IL 60626","1,800", No, 3, 3, 2,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% (↑) in the next year.This home is valued 9.7% higher (↑) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1801-W-Touhy-Ave-UNIT-R-Chicago-IL-60626/3572162_zpid/,0.47 Acres, 1,Sold
192,Townhouse,1996,Forced air,Central,2 spaces,$363/month," $792,500","1401 N Wieland St APT K, Chicago, IL 60610","2,300", No, 4, 3, 3,"Home values in Old Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town will decrease 0.2% (↓) in the next year.This home is valued 98.9% higher (↑) than the median home in Old Town.The median Zestimate® for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1401-N-Wieland-St-APT-K-Chicago-IL-60610/3852783_zpid/,"1,067 sqft",,Sold
193,Condo,1929,Forced air,Central,2 spaces,$380/month," $399,900","4912 N Saint Louis Ave APT 1, Chicago, IL 60625","2,500", No, 4, 3, 3,"Home values in Albany Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% (↓) in the next year.This home is valued 27.1% higher (↑) than the median home in Albany Park.The median Zestimate® for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4912-N-Saint-Louis-Ave-APT-1-Chicago-IL-60625/65557683_zpid/,,,Sold
194,Condo,1916,No Data,Central,1 space,$597/month," $227,000","1625 W Wilson Ave #3E, Chicago, IL 60640","1,100", No, 1, 1, 1,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 25.2% lower (↓) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1625-W-Wilson-Ave-3E-Chicago-IL-60640/2078354690_zpid/,,,Sold
195,Condo,2019,"Forced air, Gas",Central,1 space,$886/mo," $1,450,000","56 W Huron St APT 4, Chicago, IL 60654","2,423", No, 3, 4, 3,"Home values in Near North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near North will fall 0% (↓) in the next year.This home is valued 271.8% higher (↑) than the median home in Near North.The median Zestimate® for this neighborhood is $390,006.",https://www.zillow.com/homedetails/56-W-Huron-St-APT-4-Chicago-IL-60654/2081593131_zpid/,, 1,Sold
196,Single Family,1927,No Data,No Data,Detached Garage,," $549,000","5525 W Roscoe St, Chicago, IL 60641","1,543", No, 3, 1,,"Home values in Cragin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Cragin will fall 1.8% (↓) in the next year.This home is valued 110.5% higher (↑) than the median home in Cragin.The median Zestimate® for this neighborhood is $260,825.",https://www.zillow.com/homedetails/5525-W-Roscoe-St-Chicago-IL-60641/3664027_zpid/,"3,750 sqft",,Sold
197,Townhouse,1976,Forced air,Central,1 space,$300/month," $248,000","1801 W Touhy Ave UNIT R, Chicago, IL 60626","1,800", No, 3, 3, 2,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will rise 1.4% (↑) in the next year.This home is valued 9.7% higher (↑) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/1801-W-Touhy-Ave-UNIT-R-Chicago-IL-60626/3572162_zpid/,0.47 acres, 1,Sold
198,Townhouse,1980,Forced air,Central,2 spaces,$301/month," $1,260,000","1844 N Sedgwick St APT A, Chicago, IL 60614","3,200", No, 4, 4, 3,"Home values in 60614 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% (↓) in the next year.This home is valued 97.5% higher (↑) than the median home in Old Town Triangle.The median Zestimate® for this neighborhood is $638,027.",https://www.zillow.com/homedetails/1844-N-Sedgwick-St-APT-A-Chicago-IL-60614/3740512_zpid/,"7,380 sqft", 1,Sold
199,Condo,2010,Heat pump,Central,1 space,"$2,258/mo"," $2,800,000","2550 N Lakeview Ave UNIT S3202, Chicago, IL 60614","3,030", No, 3, 4, 3,"Home values in Lincoln Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% (↓) in the next year.This home is valued 406.5% higher (↑) than the median home in Lincoln Park.The median Zestimate® for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2550-N-Lakeview-Ave-UNIT-S3202-Chicago-IL-60614/123561700_zpid/,, 1,Sold
200,Single Family,1930,Forced air,Central,2 spaces,None," $340,000","5133 W Cornelia Ave, Chicago, IL 60641","1,886", No, 6, 3, 3,"Home values in Portage Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Portage Park will decrease 2% (↓) in the next year.This home is valued 17.3% higher (↑) than the median home in Portage Park.The median Zestimate® for this neighborhood is $289,874.",https://www.zillow.com/homedetails/5133-W-Cornelia-Ave-Chicago-IL-60641/3664501_zpid/,"4,181 sqft",,Sold
201,Condo,1944,Forced air,Central,2 spaces,$264/month," $440,000","2060 N Humboldt Blvd #2, Chicago, IL 60647","1,600", No, 3, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 9% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2060-N-Humboldt-Blvd-2-Chicago-IL-60647/65558472_zpid/,,,Sold
202,Single Family,1926,Forced air,Central,2 spaces,," $360,000","5813 N Manton Ave, Chicago, IL 60646","1,173", No, 3, 1, 1,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% (↓) in the next year.This home is valued 18.7% higher (↑) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5813-N-Manton-Ave-Chicago-IL-60646/3626763_zpid/,"3,750 sqft",,Sold
203,Single Family,1880,No Data,Central,2 spaces,None," $2,389,000","1956 W Evergreen Ave, Chicago, IL 60622","5,173", No, 5, 5, 4,"Home values in Wicker Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% (↑) in the next year.This home is valued 308% higher (↑) than the median home in Wicker Park.The median Zestimate® for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1956-W-Evergreen-Ave-Chicago-IL-60622/101437966_zpid/,"4,299 sqft", 1,Sold
204,Single Family,1926,Forced air,Central,2 spaces,None," $379,000","1806 N Nagle Ave, Chicago, IL 60707","1,917", No, 5, 3, 3,"Home values in Galewood have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Galewood will increase 0.7% (↑) in the next year.This home is valued 40.3% higher (↑) than the median home in Galewood.The median Zestimate® for this neighborhood is $270,111.",https://www.zillow.com/homedetails/1806-N-Nagle-Ave-Chicago-IL-60707/3682410_zpid/,"5,187 sqft",,Sold
205,Townhouse,1996,Forced air,Central,2 spaces,$363/month," $792,500","1401 N Wieland St APT K, Chicago, IL 60610","2,300", No, 4, 3, 3,"Home values in Old Town have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town will fall 0.2% (↓) in the next year.This home is valued 98.9% higher (↑) than the median home in Old Town.The median Zestimate® for this neighborhood is $398,382.",https://www.zillow.com/homedetails/1401-N-Wieland-St-APT-K-Chicago-IL-60610/3852783_zpid/,"1,067 sqft",,Sold
206,Multi Family,1927,Gas,No Data,2 spaces,," $420,000","5901 N Navarre Ave, Chicago, IL 60631",, No, 4, 2, 2,"Home values in Norwood Park East have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Norwood Park East will fall 1.2% (↓) in the next year.This home is valued 25.5% higher (↑) than the median home in Norwood Park East.The median Zestimate® for this neighborhood is $334,700.",https://www.zillow.com/homedetails/5901-N-Navarre-Ave-Chicago-IL-60631/2101184375_zpid/,,,Sold
207,Condo,2017,Forced air,Central,2 spaces,$152/month," $565,000","2869 W Lyndale St UNIT 2, Chicago, IL 60647","1,470", No, 3, 2, 2,"Home values in Logan Square have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Logan Square will increase 1.6% (↑) in the next year.This home is valued 40% higher (↑) than the median home in Logan Square.The median Zestimate® for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2869-W-Lyndale-St-UNIT-2-Chicago-IL-60647/2078159496_zpid/,,,Sold
208,Single Family,1906,"Baseboard, Radiant, Gas",Central,1 space,," $700,000","1502 W Sunnyside Ave, Chicago, IL 60640","1,320", No, 4, 3, 2,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will rise 2% (↑) in the next year.This home is valued 130.7% higher (↑) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1502-W-Sunnyside-Ave-Chicago-IL-60640/3705450_zpid/,"2,626 sqft", 1,Sold
209,Multi Family,1922,Forced air,No Data,2 spaces,," $375,000","1731 N Lotus Ave, Chicago, IL 60639","2,146", No, 5, 3, 3,"Home values in North Austin have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in North Austin will fall 3.9% (↓) in the next year.This home is valued 96.2% higher (↑) than the median home in North Austin.The median Zestimate® for this neighborhood is $191,129.",https://www.zillow.com/homedetails/1731-N-Lotus-Ave-Chicago-IL-60639/2137146653_zpid/,,,Sold
210,Condo,1971,Gas,Central,1 space,$421/month," $164,000","1636 N Wells St APT 3412, Chicago, IL 60614",575, No, 0, 1, 1,"Home values in 60614 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% (↓) in the next year.This home is valued 74.3% lower (↓) than the median home in Old Town Triangle.The median Zestimate® for this neighborhood is $638,027.",https://www.zillow.com/homedetails/1636-N-Wells-St-APT-3412-Chicago-IL-60614/3743161_zpid/,,,Sold
211,Condo,2004,Forced air,Central,1 space,$130/month," $627,500","1543 N Wood St #1, Chicago, IL 60622","2,000", No, 3, 3, 2,"Home values in Wicker Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Wicker Park will rise 1.1% (↑) in the next year.This home is valued 7.2% higher (↑) than the median home in Wicker Park.The median Zestimate® for this neighborhood is $585,609.",https://www.zillow.com/homedetails/1543-N-Wood-St-1-Chicago-IL-60622/70465223_zpid/,, 1,Sold
212,Townhouse,2007,Forced air,Central,2 spaces,$330/month," $610,000","1152 N Hudson Ave, Chicago, IL 60610","2,114", No, 3, 4, 3,"Home values in 60610 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Cabrini Green will fall 0.3% (↓) in the next year.This home is valued 42.6% higher (↑) than the median home in Cabrini Green.The median Zestimate® for this neighborhood is $427,846.",https://www.zillow.com/homedetails/1152-N-Hudson-Ave-Chicago-IL-60610/2105486781_zpid/,No Data, 1,Sold
213,Condo,1902,Forced air,Central,1 space,$250/month," $320,000","4014 N Clarendon Ave APT 2, Chicago, IL 60613","1,400", No, 2, 2, 2,"Home values in Uptown have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Uptown will increase 2% (↑) in the next year.This home is valued 5.4% higher (↑) than the median home in Uptown.The median Zestimate® for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4014-N-Clarendon-Ave-APT-2-Chicago-IL-60613/2078608889_zpid/,,,Sold
214,Single Family,1886,Forced air,Central,2 spaces,None," $2,950,000","2631 N Burling St, Chicago, IL 60614","5,400", No, 5, 5, 4,"Home values in Lincoln Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% (↓) in the next year.This home is valued 433.7% higher (↑) than the median home in Lincoln Park.The median Zestimate® for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2631-N-Burling-St-Chicago-IL-60614/3724040_zpid/,"5,300 sqft", 1,Sold
215,Condo,2019,"Forced air, Gas",Central,1 space,$886/mo," $1,450,000","56 W Huron St APT 4, Chicago, IL 60654","2,423", No, 3, 4, 3,"Home values in Near North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near North will fall 0% (↓) in the next year.This home is valued 271.8% higher (↑) than the median home in Near North.The median Zestimate® for this neighborhood is $390,006.",https://www.zillow.com/homedetails/56-W-Huron-St-APT-4-Chicago-IL-60654/2081593131_zpid/,, 1,Sold
216,Condo,1979,No Data,No Data,No Data,$292/mo," $101,000","6511 N Mozart St #A, Chicago, IL 60645",850, No, 2, 1, 1,"Home values in West Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in West Rogers Park will increase 1.7% (↑) in the next year.This home is valued 66.8% lower (↓) than the median home in West Rogers Park.The median Zestimate® for this neighborhood is $303,895.",https://www.zillow.com/homedetails/6511-N-Mozart-St-A-Chicago-IL-60645/3562302_zpid/,,,Sold
217,Condo,1914,Gas,Central,1 space,$240/month," $161,000","6906 N Ashland Blvd #GS, Chicago, IL 60626",, No, 2, 2, 2,"Home values in Rogers Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Rogers Park will increase 1.4% (↑) in the next year.This home is valued 28.8% lower (↓) than the median home in Rogers Park.The median Zestimate® for this neighborhood is $226,102.",https://www.zillow.com/homedetails/6906-N-Ashland-Blvd-GS-Chicago-IL-60626/2078114010_zpid/,,,Sold
218,Single Family,2020,Forced air,Central,2 spaces,None," $699,000","5329 W Winnemac Ave, Chicago, IL 60630","3,100", No, 4, 4, 3,"Home values in Jefferson Park have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Jefferson Park will decrease 2.4% (↓) in the next year.This home is valued 130.6% higher (↑) than the median home in Jefferson Park.The median Zestimate® for this neighborhood is $303,165.",https://www.zillow.com/homedetails/5329-W-Winnemac-Ave-Chicago-IL-60630/101464925_zpid/,"3,197 sqft", 1,Sold
219,Single Family,1950,Gas,Central,15 spaces,None," $410,000","6042 N Oriole Ave, Chicago, IL 60631","2,400", No, 4, 3, 2,"Home values in Norwood Park West have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Norwood Park West will fall 1.6% (↓) in the next year.This home is valued 26.9% higher (↑) than the median home in Norwood Park West.The median Zestimate® for this neighborhood is $323,208.",https://www.zillow.com/homedetails/6042-N-Oriole-Ave-Chicago-IL-60631/3575567_zpid/,"4,678 sqft", 1,Sold
220,Single Family,2016,"Forced air, Heat pump",Central,2 spaces,None," $479,000","1361 E Marquette Rd, Chicago, IL 60637","2,100", No, 4, 4, 3,"Home values in Woodlawn have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Woodlawn will fall 1.4% (↓) in the next year.This home is valued 168% higher (↑) than the median home in Woodlawn.The median Zestimate® for this neighborhood is $178,718.",https://www.zillow.com/homedetails/1361-E-Marquette-Rd-Chicago-IL-60637/159041017_zpid/,"4,029 sqft", 1,Sold
221,Condo,No Data,No Data,No Data,No Data,No Data," $382,750","4220 S Ellis Ave UNIT 2N, Chicago, IL 60653",, No, 0,,,"Home values in Oakland have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Oakland will rise 1.2% (↑) in the next year.This home is valued 13.7% higher (↑) than the median home in Oakland.The median Zestimate® for this neighborhood is $336,641.",https://www.zillow.com/homedetails/4220-S-Ellis-Ave-UNIT-2N-Chicago-IL-60653/306334740_zpid/,,,Sold
222,Condo,2002,Other,Central,1 space,$986/month," $600,000","25 E Superior St APT 1401, Chicago, IL 60611","1,500", No, 2, 2, 2,"Home values in Near North have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Near North will decrease 0% (↓) in the next year.This home is valued 53.8% higher (↑) than the median home in Near North.The median Zestimate® for this neighborhood is $390,006.",https://www.zillow.com/homedetails/25-E-Superior-St-APT-1401-Chicago-IL-60611/63701491_zpid/,,,Sold
223,Single Family,1912,Gas,Central,1 space,None," $1,675,000","217 W Menomonee St, Chicago, IL 60614","3,563", No, 5, 3, 2,"Home values in 60614 have risen 0.6 % (↑) over the past 12 months.Zillow predicts the home values in Old Town Triangle will decrease 0.9% (↓) in the next year.This home is valued 162.5% higher (↑) than the median home in Old Town Triangle.The median Zestimate® for this neighborhood is $638,027.",https://www.zillow.com/homedetails/217-W-Menomonee-St-Chicago-IL-60614/3742227_zpid/,37 sqft, 1,Sold
