,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms
619,Condo,1972,Electric,No Data,1 space,No Data,"$130,000","2320 N Nordica Ave APT 403, Chicago, IL 60707", No, 1, 1, 1,"Home values in Galewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Galewood will rise 0.7% () in the next year.This home is valued 51.9% lower () than the median home in Galewood.The median Zestimate for this neighborhood is $270,111.",https://www.zillow.com/homedetails/2320-N-Nordica-Ave-APT-403-Chicago-IL-60707/3680349_zpid/,,,$231/month,
620,Condo,2009,Gas,Central,1 space,$359,"$299,000","1800 W Grace St #302, Chicago, IL 60613", No, 1, 1, 1,"Home values in North Center have risen 0.6% () over the past 12 months.Zillow predicts the home values in North Center will increase 1.3% () in the next year.This home is valued 60.9% lower () than the median home in North Center.The median Zestimate for this neighborhood is $765,003.",https://www.zillow.com/homedetails/1800-W-Grace-St-302-Chicago-IL-60613/2137208699_zpid/,,832,$384/mo,
621,Condo,2009,Electric,Central,1 space,,"$289,900","565 W Quincy St UNIT 801, Chicago, IL 60661", No, 1, 1, 1,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will decrease 0.5% () in the next year.This home is valued 14.4% lower () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/565-W-Quincy-St-UNIT-801-Chicago-IL-60661/306334092_zpid/,,,$407/mo,
622,Multi Family,1906,Gas,Central,2 spaces,No Data,"$3,000,000","2528 N California Ave, Chicago, IL 60647", No, 4, 5, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 643.2% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2528-N-California-Ave-Chicago-IL-60647/2077676629_zpid/,,,, 3
623,Condo,1949,Forced air,Central,1 space,$368,"$700,000","130 S Canal St APT 9Q, Chicago, IL 60606", No, 3, 3, 2,"Home values in West Loop Gate have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Loop Gate will fall 0.5% () in the next year.This home is valued 106.6% higher () than the median home in West Loop Gate.The median Zestimate for this neighborhood is $338,772.",https://www.zillow.com/homedetails/130-S-Canal-St-APT-9Q-Chicago-IL-60606/58368894_zpid/,,"1,900","$1,153/month", 1
624,Condo,2002,"Forced air, Gas",Central,1 space,$232,"$277,800","3113 W Lawrence Ave APT A201, Chicago, IL 60625", No, 2, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 11.7% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625/2077676671_zpid/,,"1,200",$279/mo,
625,Condo,1968,No Data,No Data,No Data,$295,"$155,000","2626 N Lakeview Ave APT 2110, Chicago, IL 60614", No, 0, 1, 1,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 72% lower () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614/3725735_zpid/,,525,$229/month,
626,Condo,1903,Forced air,Central,1 space,$268,"$375,000","4521 N Ashland Ave APT 3N, Chicago, IL 60640", No, 2, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 23.6% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640/61959682_zpid/,,"1,400",No Data,
627,Condo,1906,Other,Refrigeration,2 spaces,$187,"$449,000","668 W Irving Park Rd APT H4, Chicago, IL 60613", No, 4, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 48% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/668-W-Irving-Park-Rd-APT-H4-Chicago-IL-60613/3705074_zpid/,,"2,400",$658/month,
628,Townhouse,1960,Forced air,Central,1 space,$286,"$285,000","3950 W Glenlake Ave UNIT C, Chicago, IL 60659", No, 3, 2, 1,"Home values in Pulaski Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Pulaski Park will rise 2.9% () in the next year.This home is valued 23.9% lower () than the median home in Pulaski Park.The median Zestimate for this neighborhood is $374,289.",https://www.zillow.com/homedetails/3950-W-Glenlake-Ave-UNIT-C-Chicago-IL-60659/3620008_zpid/,"1,695 sqft",998,None, 1
629,Single Family,1910,Forced air,No Data,2 spaces,$46,"$55,000","6811 S Wolcott Ave, Chicago, IL 60636", No, 3, 1, 1,"Home values in West Englewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Englewood will fall 4.3% () in the next year.This home is valued 11.9% lower () than the median home in West Englewood.The median Zestimate for this neighborhood is $62,424.",https://www.zillow.com/homedetails/6811-S-Wolcott-Ave-Chicago-IL-60636/3996655_zpid/,"3,101 sqft","1,206",,
630,Single Family,1945,"Forced air, Gas",No Data,2 spaces,$115,"$229,000","12201 S Harvard Ave, Chicago, IL 60628", No, 5, 3, 3,"Home values in West Pullman have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Pullman will rise 11.3% () in the next year.This home is valued 137.9% higher () than the median home in West Pullman.The median Zestimate for this neighborhood is $96,277.",https://www.zillow.com/homedetails/12201-S-Harvard-Ave-Chicago-IL-60628/4157398_zpid/,"3,075 sqft","2,000",,
631,Condo,1998,Forced air,Central,1 space,$293,"$285,000","1529 S State St #19H, Chicago, IL 60605", No, 1, 2, 1,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 24.4% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1529-S-State-St-19H-Chicago-IL-60605/2145973504_zpid/,,972,$600/month, 1
632,Condo,1911,Forced air,Central,1 space,$259,"$284,999","330 S Michigan Ave APT 1910, Chicago, IL 60604", No, 2, 2, 2,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will decrease 3.3% () in the next year.This home is valued 22.8% lower () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-1910-Chicago-IL-60604/60269731_zpid/,,"1,100",$512/month,
633,Condo,1998,Forced air,Central,1 space,$293,"$285,000","1529 S State St #19H, Chicago, IL 60605", No, 1, 2, 1,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 24.4% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1529-S-State-St-19H-Chicago-IL-60605/2145973504_zpid/,,972,$600/month, 1
634,Multiple Occupancy,1912,Gas,No Data,No Data,,"$95,000","7736 S Maryland Ave, Chicago, IL 60619", No, 5, 2, 2,"Home values in Grand Crossing have risen 0.6% () over the past 12 months.Zillow predicts the home values in Grand Crossing will decrease 16.8% () in the next year.This home is valued 0.8% lower () than the median home in Grand Crossing.The median Zestimate for this neighborhood is $95,799.",https://www.zillow.com/homedetails/7736-S-Maryland-Ave-Chicago-IL-60619/2137117040_zpid/,,,,
635,Townhouse,2006,Gas,Central,No Data,$175,"$350,000","4160 S Drexel Blvd, Chicago, IL 60653", No, 2, 3, 2,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will increase 2.7% () in the next year.This home is valued 32% higher () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4160-S-Drexel-Blvd-Chicago-IL-60653/2077677082_zpid/,No Data,"2,000",, 1
636,Condo,2013,Forced air,Central,2 spaces,$351,"$649,900","1238 W Argyle St APT 2, Chicago, IL 60640", No, 3, 2, 2,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will increase 2% () in the next year.This home is valued 114.2% higher () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/1238-W-Argyle-St-APT-2-Chicago-IL-60640/2077677081_zpid/,,"1,850",$237/month,
637,Condo,2008,Forced air,Central,1 space,$467,"$764,900","1201 S Prairie Ave #1905, Chicago, IL 60605", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 102.9% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1201-S-Prairie-Ave-1905-Chicago-IL-60605/2143994890_zpid/,,"1,639",$737/month,
638,Single Family,1911,Forced air,No Data,1 space,$128,"$299,900","4506 N Kimball Ave, Chicago, IL 60625", No, 4, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will decrease 1.1% () in the next year.This home is valued 4.7% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4506-N-Kimball-Ave-Chicago-IL-60625/3644845_zpid/,"4,704 sqft","2,352",,
639,Single Family,2020,"Forced air, Gas",Central,2 spaces,$169,"$439,900","533 W 46th Pl, Chicago, IL 60609", Yes, 5, 3, 3,"Home values in Canaryville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Canaryville will increase 1.6% () in the next year.This home is valued 72.7% higher () than the median home in Canaryville.The median Zestimate for this neighborhood is $254,665.",https://www.zillow.com/homedetails/533-W-46th-Pl-Chicago-IL-60609/159007991_zpid/,"3,049 sqft","2,600",,
640,Single Family,2016,Forced air,Central,2 spaces,$240,"$1,050,000","6082 N Sauganash Ave, Chicago, IL 60646", No, 5, 4, 3,"Home values in Sauganash have risen 0.6% () over the past 12 months.Zillow predicts the home values in Sauganash will rise 1.5% () in the next year.This home is valued 140.4% higher () than the median home in Sauganash.The median Zestimate for this neighborhood is $436,778.",https://www.zillow.com/homedetails/6082-N-Sauganash-Ave-Chicago-IL-60646/2097701527_zpid/,No Data,"4,375",$5/month, 1
641,Condo,2001,Forced air,Central,None,$219,"$219,000","1426 W Cullom Ave APT 1, Chicago, IL 60613", No, 1, 1, 1,"Home values in Graceland West have risen 0.6% () over the past 12 months.Zillow predicts the home values in Graceland West will rise 1.2% () in the next year.This home is valued 66.4% lower () than the median home in Graceland West.The median Zestimate for this neighborhood is $651,745.",https://www.zillow.com/homedetails/1426-W-Cullom-Ave-APT-1-Chicago-IL-60613/65559234_zpid/,,"1,000",$265/month,
642,Condo,2007,Forced air,Central,1 space,$350,"$595,000","3548 N Reta Ave APT 3N, Chicago, IL 60657", No, 3, 2, 2,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 10.1% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/3548-N-Reta-Ave-APT-3N-Chicago-IL-60657/2099052215_zpid/,,"1,700",$155/month,
643,Single Family,1917,Forced air,Central,2 spaces,$140,"$265,000","8119 S Rhodes Ave, Chicago, IL 60619", No, 4, 4, 2,"Home values in Chatham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Chatham will fall 5.4% () in the next year.This home is valued 100% higher () than the median home in Chatham.The median Zestimate for this neighborhood is $132,482.",https://www.zillow.com/homedetails/8119-S-Rhodes-Ave-Chicago-IL-60619/4018561_zpid/,"3,720 sqft","1,898",None, 2
644,Condo,2015,"Forced air, Gas",Central,1 space,$463,"$925,000","2245 W Armitage Ave #2, Chicago, IL 60647", No, 3, 3, 3,"Home values in Bucktown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bucktown will rise 0.5% () in the next year.This home is valued 53.9% higher () than the median home in Bucktown.The median Zestimate for this neighborhood is $601,188.",https://www.zillow.com/homedetails/2245-W-Armitage-Ave-2-Chicago-IL-60647/2100298707_zpid/,,"2,000",$148/mo,
645,Condo,1962,Baseboard,No Data,None,No Data,"$89,900","2035 W Granville Ave APT 209, Chicago, IL 60659", No, 1, 1, 1,"Home values in West Rogers Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Rogers Park will increase 1.7% () in the next year.This home is valued 70.4% lower () than the median home in West Rogers Park.The median Zestimate for this neighborhood is $303,895.",https://www.zillow.com/homedetails/2035-W-Granville-Ave-APT-209-Chicago-IL-60659/2087877903_zpid/,,,$250/month,
646,Condo,2003,"Forced air, Gas",Central,1 space,$235,"$305,000","8747 W Bryn Mawr Ave APT 601, Chicago, IL 60631", No, 2, 1, 1,"Home values in O'Hare have risen 0.6% () over the past 12 months.Zillow predicts the home values in O'Hare will rise 1.6% () in the next year.This home is valued 1.8% higher () than the median home in O'Hare.The median Zestimate for this neighborhood is $299,617.",https://www.zillow.com/homedetails/8747-W-Bryn-Mawr-Ave-APT-601-Chicago-IL-60631/65549659_zpid/,,"1,300",$395/mo,
647,Condo,2002,Forced air,Central,1 space,$394,"$485,000","1322 S Prairie Ave UNIT 1713, Chicago, IL 60605", No, 2, 2,,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will increase 3.2% () in the next year.This home is valued 28.7% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1322-S-Prairie-Ave-UNIT-1713-Chicago-IL-60605/63704728_zpid/,,"1,232",$722/month,
648,Condo,2008,Forced air,Central,1 space,$267,"$319,900","1134 W Granville Ave APT 719, Chicago, IL 60660", No, 2, 2, 2,"Home values in Edgewater have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% () in the next year.This home is valued 32.1% higher () than the median home in Edgewater.The median Zestimate for this neighborhood is $242,192.",https://www.zillow.com/homedetails/1134-W-Granville-Ave-APT-719-Chicago-IL-60660/113499351_zpid/,,"1,200",$463/month,
649,Condo,2004,Forced air,Central,1 space,$267,"$399,900","1730 N Western Ave APT 203, Chicago, IL 60647", No, 2, 2, 2,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 0.9% lower () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/1730-N-Western-Ave-APT-203-Chicago-IL-60647/70459223_zpid/,,"1,500",$331/month,
650,Single Family,1921,"Forced air, Gas",Central,2 spaces,$218,"$415,000","2416 N Neva Ave, Chicago, IL 60707", No, 5, 3, 2,"Home values in Montclare have risen 0.6% () over the past 12 months.Zillow predicts the home values in Montclare will decrease 2.1% () in the next year.This home is valued 61.5% higher () than the median home in Montclare.The median Zestimate for this neighborhood is $256,941.",https://www.zillow.com/homedetails/2416-N-Neva-Ave-Chicago-IL-60707/3679740_zpid/,"5,140 sqft","1,900",, 1
651,Condo,2003,"Forced air, Gas",Central,1 space,$223,"$290,000","4428 S Calumet Ave APT 3, Chicago, IL 60653", No, 3, 2, 2,"Home values in Bronzeville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bronzeville will increase 2.7% () in the next year.This home is valued 9.4% higher () than the median home in Bronzeville.The median Zestimate for this neighborhood is $265,069.",https://www.zillow.com/homedetails/4428-S-Calumet-Ave-APT-3-Chicago-IL-60653/80838453_zpid/,,"1,300",$315/mo,
652,Single Family,1961,Gas,Central,2 spaces,$282,"$310,000","2505 N Austin Ave, Chicago, IL 60639", No, 3, 2, 2,"Home values in Belmont Central have risen 0.6% () over the past 12 months.Zillow predicts the home values in Belmont Central will fall 3% () in the next year.This home is valued 22.8% higher () than the median home in Belmont Central.The median Zestimate for this neighborhood is $252,376.",https://www.zillow.com/homedetails/2505-N-Austin-Ave-Chicago-IL-60639/3676981_zpid/,"3,092 sqft","1,100",,
653,Condo,1926,Gas,No Data,1 space,$217,"$379,000","5840 S Stony Island Ave APT 3F, Chicago, IL 60637", No, 3, 2, 2,"Home values in East Hyde Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in East Hyde Park will decrease 2.1% () in the next year.This home is valued 59.4% higher () than the median home in East Hyde Park.The median Zestimate for this neighborhood is $237,756.",https://www.zillow.com/homedetails/5840-S-Stony-Island-Ave-APT-3F-Chicago-IL-60637/2098053694_zpid/,,"1,750","$1,550/mo",
654,Single Family,1909,"Forced air, Gas",Central,4 spaces,$138,"$275,000","2714 E 78th St, Chicago, IL 60649", No, 3, 3, 2,"Home values in South Shore have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Shore will increase 4.3% () in the next year.This home is valued 153.3% higher () than the median home in South Shore.The median Zestimate for this neighborhood is $108,577.",https://www.zillow.com/homedetails/2714-E-78th-St-Chicago-IL-60649/4026055_zpid/,"3,876 sqft","2,000",, 1
655,Condo,2001,Forced air,Central,2 spaces,$288,"$547,500","1944 W Diversey Pkwy #1, Chicago, IL 60614", No, 3, 3, 2,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will decrease 0% () in the next year.This home is valued 40.4% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/1944-W-Diversey-Pkwy-1-Chicago-IL-60614/65546567_zpid/,,"1,900",$300/month, 1
656,Condo,2004,Forced air,Central,1 space,$313,"$339,000","1841 S Calumet Ave APT 709, Chicago, IL 60616", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 10.1% lower () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/1841-S-Calumet-Ave-APT-709-Chicago-IL-60616/87696388_zpid/,,"1,084",$665/month,
657,Condo,2000,"Forced air, Gas",Central,1 space,$381,"$799,900","708 W Schubert Ave #B, Chicago, IL 60614", No, 3, 3, 3,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 44.7% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/708-W-Schubert-Ave-B-Chicago-IL-60614/60264777_zpid/,,"2,100",$150/mo,
658,Condo,2007,Forced air,Central,1 space,$450,"$540,000","2401 N Janssen Ave APT 406, Chicago, IL 60614", No, 2, 2, 2,"Home values in West De Paul have risen 0.6% () over the past 12 months.Zillow predicts the home values in West De Paul will fall 0.9% () in the next year.This home is valued 31.1% lower () than the median home in West De Paul.The median Zestimate for this neighborhood is $783,255.",https://www.zillow.com/homedetails/2401-N-Janssen-Ave-APT-406-Chicago-IL-60614/89929352_zpid/,,"1,200",$190/month,
659,Single Family,1921,"Forced air, Gas",Central,1 space,$158,"$274,900","4837 N Lowell Ave, Chicago, IL 60630", No, 6, 2, 1,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 12.6% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4837-N-Lowell-Ave-Chicago-IL-60630/3639745_zpid/,"3,811 sqft","1,736",, 1
660,Single Family,1887,Forced air,Central,2 spaces,$262,"$849,900","2114 W Thomas St, Chicago, IL 60622", No, 4, 4, 3,"Home values in Ukrainian Village have risen 0.6% () over the past 12 months.Zillow predicts the home values in Ukrainian Village will increase 2.5% () in the next year.This home is valued 70.2% higher () than the median home in Ukrainian Village.The median Zestimate for this neighborhood is $499,489.",https://www.zillow.com/homedetails/2114-W-Thomas-St-Chicago-IL-60622/3860262_zpid/,"2,905 sqft","3,250",None, 1
661,Multi Family,1888,Gas,No Data,1 space,No Data,"$1,395,000","650 W Wrightwood Ave, Chicago, IL 60614", No, 6, 4, 2,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will decrease 0.8% () in the next year.This home is valued 152.4% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/650-W-Wrightwood-Ave-Chicago-IL-60614/2094919676_zpid/,,,, 2
662,Condo,2009,Forced air,Central,No Data,$363,"$369,900","235 W Van Buren St UNIT 4016, Chicago, IL 60607", No, 2, 2, 2,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will fall 3.3% () in the next year.This home is valued 0.2% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-4016-Chicago-IL-60607/159464634_zpid/,,"1,019",$424/mo,
663,Condo,2008,"Forced air, Gas",Central,1 space,$405,"$420,000","600 N Lake Shore Dr APT 1803, Chicago, IL 60611", No, 1, 2, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% () in the next year.This home is valued 9.5% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/600-N-Lake-Shore-Dr-APT-1803-Chicago-IL-60611/99346775_zpid/,,"1,037",$561/mo, 1
664,Condo,2007,Forced air,Central,1 space,$203,"$305,000","3329 S Prairie Ave #3, Chicago, IL 60616", No, 2, 2, 2,"Home values in The Gap have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Gap will increase 1.3% () in the next year.This home is valued 20.3% lower () than the median home in The Gap.The median Zestimate for this neighborhood is $382,923.",https://www.zillow.com/homedetails/3329-S-Prairie-Ave-3-Chicago-IL-60616/89932636_zpid/,,"1,500",$150/month,
665,Condo,2007,Forced air,Central,1 space,$203,"$305,000","3329 S Prairie Ave #3, Chicago, IL 60616", No, 2, 2, 2,"Home values in The Gap have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Gap will rise 1.3% () in the next year.This home is valued 20.3% lower () than the median home in The Gap.The median Zestimate for this neighborhood is $382,923.",https://www.zillow.com/homedetails/3329-S-Prairie-Ave-3-Chicago-IL-60616/89932636_zpid/,,"1,500",$150/month,
666,Townhouse,2001,"Forced air, Gas",Central,2 spaces,$347,"$690,000","1749 W George St, Chicago, IL 60657", No, 3, 3, 3,"Home values in Lake View have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View will fall 0.3% () in the next year.This home is valued 27.6% higher () than the median home in Lake View.The median Zestimate for this neighborhood is $540,603.",https://www.zillow.com/homedetails/1749-W-George-St-Chicago-IL-60657/62011051_zpid/,"1,220 sqft","1,990",,
667,Condo,2007,Forced air,Central,2 spaces,$293,"$450,000","5430 N Sheridan Rd APT 507, Chicago, IL 60640", No, 3, 2, 2,"Home values in Edgewater have risen 0.6% () over the past 12 months.Zillow predicts the home values in Edgewater will increase 1.3% () in the next year.This home is valued 85.8% higher () than the median home in Edgewater.The median Zestimate for this neighborhood is $242,192.",https://www.zillow.com/homedetails/5430-N-Sheridan-Rd-APT-507-Chicago-IL-60640/87716707_zpid/,,"1,538",$669/month,
668,Condo,2006,Electric,Central,2 spaces,$580,"$1,450,000","1035 N Dearborn St UNIT 8W, Chicago, IL 60610", No, 3, 3, 3,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will fall 0% () in the next year.This home is valued 271.8% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/1035-N-Dearborn-St-UNIT-8W-Chicago-IL-60610/80819574_zpid/,,"2,500","$2,259/mo",
669,Single Family,1941,Forced air,Central,1 space,$191,"$765,000","5915 N Forest Glen Ave, Chicago, IL 60646", No, 5, 4, 3,"Home values in Sauganash have risen 0.6% () over the past 12 months.Zillow predicts the home values in Sauganash will increase 1.5% () in the next year.This home is valued 75.1% higher () than the median home in Sauganash.The median Zestimate for this neighborhood is $436,778.",https://www.zillow.com/homedetails/5915-N-Forest-Glen-Ave-Chicago-IL-60646/3622974_zpid/,"4,961 sqft","4,000",None, 1
670,Multi Family,1921,Gas,Central,3 spaces,$382,"$419,900","5723 N Austin Ave, Chicago, IL 60646", No, 5, 3, 3,"Home values in 60646 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gladstone Park will fall 0.5% () in the next year.This home is valued 5.5% higher () than the median home in Gladstone Park.The median Zestimate for this neighborhood is $398,119.",https://www.zillow.com/homedetails/5723-N-Austin-Ave-Chicago-IL-60646/3626817_zpid/,,"1,100",,
671,Condo,1969,Forced air,No Data,1 space,$378,"$319,000","175 E Delaware Pl APT 8112, Chicago, IL 60611", No, 1, 1, 1,"Home values in Streeterville have risen 0.6% () over the past 12 months.Zillow predicts the home values in Streeterville will fall 1.2% () in the next year.This home is valued 31.2% lower () than the median home in Streeterville.The median Zestimate for this neighborhood is $463,930.",https://www.zillow.com/homedetails/175-E-Delaware-Pl-APT-8112-Chicago-IL-60611/3850462_zpid/,,843,$581/month,
672,Condo,1915,"Forced air, Gas",Central,1 space,$279,"$380,000","40 E 9th St APT 1708, Chicago, IL 60605", No, 2, 2, 2,"Home values in South Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in South Loop will rise 3.2% () in the next year.This home is valued 0.8% higher () than the median home in South Loop.The median Zestimate for this neighborhood is $376,901.",https://www.zillow.com/homedetails/40-E-9th-St-APT-1708-Chicago-IL-60605/70471644_zpid/,,"1,360",$957/mo,
673,Single Family,1961,Gas,Central,2 spaces,$248,"$289,500","5731 S Normandy Ave, Chicago, IL 60638", No, 5, 3, 2,"Home values in Garfield Ridge have risen 0.6% () over the past 12 months.Zillow predicts the home values in Garfield Ridge will rise 4.1% () in the next year.This home is valued 20% higher () than the median home in Garfield Ridge.The median Zestimate for this neighborhood is $241,329.",https://www.zillow.com/homedetails/5731-S-Normandy-Ave-Chicago-IL-60638/3945257_zpid/,"3,528 sqft","1,165",, 1
674,Single Family,1952,Forced air,No Data,2 spaces,$52,"$50,000","9910 S Normal Ave, Chicago, IL 60628", No, 2, 2, 1,"Home values in Fernwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fernwood will rise 0.8% () in the next year.This home is valued 45.6% lower () than the median home in Fernwood.The median Zestimate for this neighborhood is $91,990.",https://www.zillow.com/homedetails/9910-S-Normal-Ave-Chicago-IL-60628/4131408_zpid/,"3,484 sqft",965,, 1
675,Condo,2003,"Forced air, Gas",Central,No Data,$363,"$475,000","545 N Dearborn St #3605, Chicago, IL 60654", No, 2, 2, 2,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will decrease 0% () in the next year.This home is valued 21.8% higher () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/545-N-Dearborn-St-3605-Chicago-IL-60654/2080172630_zpid/,,"1,310","$1,221/mo",
676,Condo,1997,Forced air,Central,1 space,$364,"$315,000","600 N Dearborn St APT 1609, Chicago, IL 60654", No, 1, 2, 1,"Home values in Near North have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near North will decrease 0% () in the next year.This home is valued 19.2% lower () than the median home in Near North.The median Zestimate for this neighborhood is $390,006.",https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1609-Chicago-IL-60654/63700387_zpid/,,865,$672/month, 1
677,Townhouse,1996,Gas,Central,1 space,$208,"$229,900","10453 S Kedzie Ave APT C, Chicago, IL 60655", No, 2, 2, 1,"Home values in Mount Greenwood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Mount Greenwood will increase 1.5% () in the next year.This home is valued 5.3% lower () than the median home in Mount Greenwood.The median Zestimate for this neighborhood is $242,860.",https://www.zillow.com/homedetails/10453-S-Kedzie-Ave-APT-C-Chicago-IL-60655/4078353_zpid/,238 sqft,"1,105",, 1
